,,,,,,,,,,,Total population by five-year age group (thousands),,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5--9,9--14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
8515,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1950,  6 747,  5 444,  4 768,  4 171,  3 595,  3 120,  2 679,  2 299,  1 947,  1 653,  1 334,  1 062,783,631,524,321,105,20,2,0,0
8516,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1951,  6 843,  5 567,  4 866,  4 267,  3 682,  3 193,  2 744,  2 355,  1 996,  1 693,  1 372,  1 090,796,614,503,312,108,20,1,0,0
8517,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1952,  6 976,  5 684,  4 963,  4 365,  3 774,  3 265,  2 811,  2 410,  2 048,  1 731,  1 414,  1 117,817,603,481,304,111,19,1,0,0
8518,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1953,  7 175,  5 762,  5 063,  4 460,  3 864,  3 332,  2 876,  2 463,  2 100,  1 767,  1 456,  1 143,843,597,460,296,113,18,1,0,0
8519,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1954,  7 449,  5 798,  5 172,  4 555,  3 952,  3 401,  2 940,  2 516,  2 152,  1 805,  1 498,  1 171,870,597,444,288,113,19,1,0,0
8520,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1955,  7 737,  5 858,  5 290,  4 651,  4 040,  3 475,  3 006,  2 573,  2 204,  1 847,  1 537,  1 204,897,604,432,280,112,20,1,0,0
8521,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1956,  8 013,  5 965,  5 411,  4 747,  4 130,  3 554,  3 072,  2 632,  2 256,  1 892,  1 575,  1 239,923,617,424,271,111,21,1,0,0
8522,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1957,  8 301,  6 107,  5 527,  4 843,  4 223,  3 638,  3 137,  2 693,  2 306,  1 941,  1 611,  1 279,948,636,419,262,110,22,1,0,0
8523,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1958,  8 598,  6 313,  5 606,  4 939,  4 310,  3 719,  3 197,  2 754,  2 355,  1 990,  1 645,  1 319,973,659,417,254,109,23,1,0,0
8524,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1959,  8 906,  6 590,  5 645,  5 046,  4 401,  3 803,  3 263,  2 816,  2 407,  2 040,  1 682,  1 359,  1 000,683,420,247,108,24,1,0,0
8525,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1960,  9 229,  6 880,  5 707,  5 169,  4 504,  3 897,  3 340,  2 883,  2 464,  2 091,  1 724,  1 397,  1 031,707,428,244,107,24,2,0,0
8526,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1961,  9 570,  7 160,  5 815,  5 297,  4 611,  3 996,  3 426,  2 953,  2 524,  2 143,  1 769,  1 435,  1 065,731,440,242,105,25,2,0,0
8527,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1962,  9 927,  7 451,  5 958,  5 419,  4 721,  4 101,  3 519,  3 024,  2 589,  2 196,  1 817,  1 471,  1 103,754,457,242,103,25,2,0,0
8528,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1963,  10 281,  7 751,  6 164,  5 504,  4 832,  4 209,  3 616,  3 096,  2 656,  2 249,  1 868,  1 507,  1 142,778,477,243,102,26,3,0,0
8529,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1964,  10 624,  8 060,  6 439,  5 548,  4 952,  4 316,  3 715,  3 173,  2 724,  2 303,  1 920,  1 545,  1 180,804,498,248,101,26,3,0,0
8530,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1965,  10 944,  8 380,  6 726,  5 613,  5 080,  4 426,  3 814,  3 254,  2 794,  2 361,  1 971,  1 586,  1 217,832,518,255,101,27,3,0,0
8531,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1966,  11 246,  8 715,  7 003,  5 722,  5 209,  4 535,  3 914,  3 340,  2 863,  2 420,  2 021,  1 630,  1 253,862,539,265,102,27,3,0,0
8532,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1967,  11 551,  9 064,  7 292,  5 863,  5 329,  4 642,  4 018,  3 432,  2 933,  2 483,  2 072,  1 677,  1 288,896,559,278,104,27,3,0,0
8533,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1968,  11 860,  9 412,  7 591,  6 067,  5 411,  4 751,  4 123,  3 527,  3 004,  2 549,  2 124,  1 727,  1 323,932,579,293,106,27,4,0,0
8534,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1969,  12 178,  9 746,  7 897,  6 331,  5 440,  4 853,  4 217,  3 617,  3 074,  2 612,  2 175,  1 776,  1 359,967,602,309,110,28,4,0,0
8535,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1970,  12 454,  10 030,  8 201,  6 600,  5 479,  4 951,  4 303,  3 698,  3 142,  2 671,  2 225,  1 820,  1 395,998,624,323,115,28,4,0,0
8536,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1971,  12 560,  10 239,  8 499,  6 841,  5 530,  5 017,  4 359,  3 751,  3 187,  2 703,  2 249,  1 836,  1 405,  1 002,627,328,115,26,3,0,0
8537,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1972,  12 766,  10 454,  8 813,  7 091,  5 604,  5 061,  4 404,  3 803,  3 236,  2 735,  2 278,  1 855,  1 422,  1 008,634,333,117,24,2,0,0
8538,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1973,  13 206,  10 705,  9 140,  7 379,  5 781,  5 107,  4 479,  3 886,  3 316,  2 797,  2 338,  1 904,  1 470,  1 043,666,348,128,26,3,0,0
8539,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1974,  13 659,  10 946,  9 452,  7 676,  6 029,  5 113,  4 557,  3 965,  3 395,  2 862,  2 398,  1 955,  1 518,  1 080,698,365,139,29,3,0,0
8540,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1975,  14 120,  11 181,  9 680,  7 935,  6 289,  5 148,  4 640,  4 037,  3 463,  2 920,  2 451,  2 003,  1 565,  1 120,731,384,150,32,3,0,0
8541,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1976,  14 570,  11 440,  9 832,  8 155,  6 551,  5 256,  4 738,  4 111,  3 528,  2 976,  2 497,  2 051,  1 614,  1 163,765,406,162,36,4,0,0
8542,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1977,  14 945,  11 775,  9 989,  8 356,  6 806,  5 401,  4 834,  4 182,  3 594,  3 034,  2 541,  2 098,  1 661,  1 208,797,430,172,41,4,0,0
8543,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1978,  15 255,  12 178,  10 156,  8 531,  7 050,  5 608,  4 900,  4 256,  3 662,  3 092,  2 583,  2 143,  1 706,  1 253,829,455,183,46,5,0,0
8544,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1979,  15 556,  12 611,  10 336,  8 678,  7 277,  5 882,  4 934,  4 337,  3 728,  3 149,  2 626,  2 186,  1 750,  1 297,861,479,193,50,6,0,0
8545,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1980,  15 854,  13 063,  10 539,  8 802,  7 490,  6 162,  4 994,  4 426,  3 795,  3 203,  2 670,  2 227,  1 792,  1 339,894,502,203,54,6,0,0
8546,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1981,  16 159,  13 506,  10 836,  8 965,  7 702,  6 422,  5 108,  4 530,  3 871,  3 268,  2 724,  2 270,  1 833,  1 379,927,523,214,58,7,0,0
8547,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1982,  16 470,  13 886,  11 247,  9 191,  7 914,  6 677,  5 267,  4 645,  3 967,  3 353,  2 792,  2 317,  1 874,  1 417,959,543,225,61,8,0,0
8548,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1983,  16 755,  14 210,  11 687,  9 434,  8 116,  6 922,  5 487,  4 738,  4 074,  3 448,  2 866,  2 366,  1 915,  1 452,992,562,236,64,9,0,0
8549,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1984,  16 994,  14 528,  12 118,  9 682,  8 305,  7 154,  5 769,  4 798,  4 190,  3 547,  2 941,  2 418,  1 955,  1 486,  1 024,581,247,67,10,0,0
8550,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1985,  17 186,  14 845,  12 537,  9 936,  8 480,  7 377,  6 055,  4 881,  4 315,  3 648,  3 016,  2 473,  1 995,  1 519,  1 054,600,256,70,10,0,0
8551,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1986,  17 317,  15 166,  12 921,  10 199,  8 653,  7 595,  6 320,  5 009,  4 444,  3 751,  3 094,  2 530,  2 035,  1 551,  1 082,619,265,72,11,1,0
8552,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1987,  17 381,  15 491,  13 231,  10 506,  8 838,  7 808,  6 577,  5 171,  4 570,  3 856,  3 177,  2 591,  2 075,  1 582,  1 108,638,272,75,11,1,0
8553,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1988,  17 394,  15 794,  13 490,  10 843,  9 038,  8 008,  6 823,  5 391,  4 668,  3 965,  3 266,  2 655,  2 115,  1 613,  1 132,655,279,77,11,1,0
8554,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1989,  17 389,  16 057,  13 755,  11 183,  9 246,  8 194,  7 055,  5 669,  4 732,  4 082,  3 357,  2 718,  2 156,  1 642,  1 153,671,285,79,11,1,0
8555,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1990,  17 366,  16 280,  14 037,  11 529,  9 464,  8 366,  7 277,  5 951,  4 818,  4 206,  3 452,  2 781,  2 198,  1 670,  1 173,684,290,80,11,1,0
8556,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1991,  17 277,  16 434,  14 379,  11 892,  9 705,  8 529,  7 492,  6 209,  4 941,  4 330,  3 548,  2 846,  2 241,  1 695,  1 189,695,294,80,11,1,0
8557,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1992,  17 149,  16 525,  14 784,  12 253,  10 021,  8 707,  7 693,  6 446,  5 078,  4 438,  3 642,  2 914,  2 285,  1 719,  1 205,704,297,80,11,1,0
8558,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1993,  17 032,  16 584,  15 166,  12 604,  10 401,  8 910,  7 879,  6 666,  5 258,  4 506,  3 734,  2 986,  2 333,  1 745,  1 222,712,300,80,11,1,0
8559,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1994,  16 930,  16 624,  15 497,  12 983,  10 802,  9 128,  8 055,  6 877,  5 499,  4 542,  3 833,  3 062,  2 382,  1 774,  1 239,721,304,81,11,1,0
8560,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1995,  16 851,  16 644,  15 773,  13 391,  11 223,  9 366,  8 220,  7 083,  5 748,  4 598,  3 939,  3 143,  2 431,  1 805,  1 257,730,307,81,11,1,0
8561,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1996,  16 832,  16 620,  15 961,  13 814,  11 643,  9 633,  8 384,  7 285,  5 979,  4 694,  4 045,  3 225,  2 484,  1 841,  1 276,740,311,82,11,1,0
8562,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1997,  16 944,  16 557,  16 064,  14 235,  12 023,  9 963,  8 566,  7 482,  6 205,  4 820,  4 145,  3 309,  2 544,  1 880,  1 298,752,317,83,11,1,0
8563,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1998,  17 174,  16 479,  16 113,  14 614,  12 380,  10 345,  8 768,  7 668,  6 423,  5 000,  4 214,  3 398,  2 611,  1 924,  1 322,767,323,85,11,1,0
8564,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1999,  17 446,  16 413,  16 144,  14 929,  12 759,  10 751,  8 988,  7 842,  6 632,  5 237,  4 252,  3 493,  2 684,  1 970,  1 351,785,332,88,12,1,0
8565,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2000,  17 740,  16 363,  16 112,  15 151,  13 161,  11 183,  9 223,  7 996,  6 828,  5 474,  4 302,  3 591,  2 762,  2 020,  1 384,806,342,92,12,1,0
8566,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2001,  18 037,  16 368,  16 103,  15 284,  13 501,  11 537,  9 444,  8 127,  7 008,  5 691,  4 391,  3 691,  2 840,  2 073,  1 420,828,354,95,12,0,0
8567,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2002,  18 248,  16 494,  16 153,  15 376,  13 760,  11 756,  9 677,  8 254,  7 174,  5 902,  4 514,  3 789,  2 919,  2 129,  1 458,851,367,99,12,0,0
8568,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2003,  18 344,  16 732,  16 168,  15 449,  13 986,  11 927,  9 938,  8 388,  7 321,  6 102,  4 687,  3 859,  3 002,  2 191,  1 499,877,382,104,12,0,0
8569,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2004,  18 349,  17 009,  16 169,  15 530,  14 163,  12 101,  10 197,  8 524,  7 448,  6 287,  4 911,  3 898,  3 093,  2 257,  1 541,905,399,110,13,0,0
8570,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2005,  18 255,  17 303,  16 162,  15 615,  14 298,  12 282,  10 451,  8 664,  7 555,  6 459,  5 137,  3 954,  3 189,  2 326,  1 584,935,417,116,13,0,0
8571,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2006,  18 066,  17 605,  16 181,  15 681,  14 383,  12 474,  10 680,  8 816,  7 652,  6 623,  5 345,  4 046,  3 288,  2 397,  1 630,966,436,123,14,0,0
8572,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2007,  17 818,  17 827,  16 306,  15 713,  14 423,  12 670,  10 847,  9 011,  7 756,  6 775,  5 544,  4 163,  3 382,  2 471,  1 679,  1 000,456,131,16,0,0
8573,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2008,  17 529,  17 935,  16 542,  15 713,  14 453,  12 842,  10 974,  9 239,  7 870,  6 912,  5 733,  4 327,  3 450,  2 549,  1 734,  1 035,477,141,17,0,0
8574,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2009,  17 202,  17 954,  16 817,  15 704,  14 502,  12 978,  11 114,  9 472,  7 991,  7 031,  5 909,  4 539,  3 489,  2 633,  1 792,  1 073,502,152,20,0,0
8575,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2010,  16 839,  17 875,  17 112,  15 694,  14 571,  13 090,  11 275,  9 711,  8 122,  7 133,  6 075,  4 754,  3 544,  2 724,  1 855,  1 112,529,164,22,0,0
8576,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2011,  16 459,  17 704,  17 417,  15 727,  14 658,  13 191,  11 478,  9 946,  8 278,  7 235,  6 238,  4 954,  3 635,  2 822,  1 924,  1 158,560,180,27,1,0
8577,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2012,  16 092,  17 477,  17 646,  15 878,  14 742,  13 283,  11 712,  10 139,  8 491,  7 352,  6 396,  5 150,  3 751,  2 921,  2 001,  1 211,596,199,33,1,0
8578,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2013,  15 782,  17 211,  17 761,  16 134,  14 793,  13 371,  11 931,  10 300,  8 739,  7 481,  6 539,  5 337,  3 911,  2 996,  2 083,  1 269,634,219,40,2,0
8579,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2014,  15 552,  16 906,  17 785,  16 420,  14 825,  13 475,  12 113,  10 473,  8 993,  7 616,  6 666,  5 512,  4 115,  3 045,  2 173,  1 331,673,241,47,3,0
8580,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2015,  15 422,  16 564,  17 713,  16 717,  14 843,  13 589,  12 266,  10 665,  9 251,  7 760,  6 775,  5 679,  4 323,  3 110,  2 270,  1 396,714,264,55,4,0
8581,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2016,  15 406,  16 201,  17 548,  17 019,  14 881,  13 691,  12 381,  10 879,  9 493,  7 919,  6 879,  5 841,  4 518,  3 207,  2 370,  1 465,757,289,64,5,0
8582,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2017,  15 490,  15 947,  17 343,  17 153,  15 095,  13 732,  12 567,  11 092,  9 607,  8 075,  6 942,  5 937,  4 678,  3 326,  2 467,  1 537,804,315,73,7,0
8583,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2018,  15 621,  15 849,  17 169,  17 098,  15 443,  13 750,  12 798,  11 341,  9 617,  8 202,  6 968,  5 957,  4 784,  3 478,  2 545,  1 614,854,342,84,9,0
8584,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2019,  15 758,  15 807,  17 045,  17 025,  15 697,  13 867,  12 898,  11 698,  9 658,  8 301,  7 009,  5 960,  4 853,  3 658,  2 601,  1 697,906,370,95,11,0
8585,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2020,  15 914,  15 794,  16 949,  17 001,  15 798,  14 129,  12 831,  12 144,  9 754,  8 370,  7 066,  5 957,  4 888,  3 807,  2 657,  1 772,952,395,106,14,0
8586,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2021,  16 088,  15 785,  16 873,  17 057,  15 769,  14 508,  12 652,  12 589,  9 944,  8 398,  7 132,  5 958,  4 891,  3 905,  2 727,  1 838,992,418,118,17,1
8587,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2022,  16 291,  15 732,  16 709,  17 136,  15 768,  14 851,  12 592,  12 835,  10 321,  8 499,  7 261,  6 043,  4 953,  3 998,  2 831,  1 917,  1 046,449,131,20,1
8588,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2023,  16 505,  15 676,  16 448,  17 146,  15 895,  15 043,  12 785,  12 811,  10 862,  8 704,  7 450,  6 211,  5 093,  4 100,  2 973,  1 994,  1 114,486,146,23,1
