,,,,,,,,,,,"Total population by five-year age group, both sexes combined (thousands)",,,,,,,,,,,,,,,,,,,,,,CORRECTED (WITHOUT GAP),,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Estimates,World,,900,,,1,World,0,2018,  695 282,  683 273,  645 556,  618 964,  603 179,  613 682,  587 863,  531 669,  484 282,  473 898,  431 171,  358 197,  315 747,  250 331,  172 314,  122 408,  80 603,  41 970,  15 614,  3 487,   413,,695282.0380 ,683273.3315 ,645556.0935 ,618963.9745 ,603178.5625 ,613681.6840 ,587863.2675 ,531669.3205 ,484281.9255 ,473898.0315 ,431170.8330 ,358197.1600 ,315746.5385 ,250330.8845 ,172313.8405 ,122408.0055 ,80603.0145 ,41970.4860 ,15614.2465 ,3486.7905 ,412.7520 ,2024111.4630 ,5018651.2975 ,687140.0200 ,2711251.4830 ,0.403317812,0.136917267,0.54023508
70,Estimates,World,,900,,,1,World,0,2019,  690 618,  687 454,  653 449,  622 823,  603 876,  609 714,  597 569,  541 903,  486 673,  476 092,  435 796,  373 080,  319 844,  259 968,  181 708,  124 140,  82 863,  43 224,  16 329,  3 728,   443,,690617.5370 ,687453.5195 ,653449.3235 ,622822.5590 ,603875.6580 ,609713.5705 ,597569.4940 ,541902.8185 ,486672.9305 ,476092.4350 ,435796.1255 ,373080.0400 ,319844.1415 ,259967.5910 ,181708.4230 ,124139.8000 ,82862.7715 ,43224.0865 ,16329.3570 ,3728.1220 ,443.3950 ,2031520.3800 ,5067369.7725 ,712403.5460 ,2743923.9260 ,0.400902336,0.140586454,0.54148879
71,Estimates,World,,900,,,1,World,0,2020,  683 431,  690 290,  661 339,  626 456,  605 907,  604 265,  606 463,  551 782,  492 545,  476 119,  442 213,  387 526,  321 340,  268 655,  192 383,  125 763,  84 782,  44 415,  16 935,  3 911,   480,,683431.0045 ,690290.3270 ,661339.1640 ,626455.8475 ,605906.7970 ,604265.4160 ,606463.1940 ,551782.3105 ,492545.3140 ,476119.4225 ,442212.7840 ,387525.5965 ,321339.5445 ,268655.2290 ,192383.2280 ,125763.4075 ,84782.4395 ,44414.6060 ,16935.2280 ,3910.8050 ,479.6270 ,2035060.4955 ,5114616.2265 ,737324.5700 ,2772385.0655 ,0.397891143,0.144160292,0.542051435
72,Estimates,World,,900,,,1,World,0,2021,  673 692,  692 143,  668 649,  630 512,  608 960,  600 731,  611 298,  561 886,  500 786,  474 712,  448 969,  400 956,  321 911,  275 740,  201 733,  128 361,  86 088,  45 434,  17 368,  4 013,   505,,673691.5665 ,692143.4880 ,668649.1020 ,630512.3095 ,608960.2050 ,600731.1945 ,611297.5575 ,561886.4125 ,500786.1950 ,474711.7540 ,448968.8855 ,400955.9235 ,321910.9980 ,275740.3230 ,201733.0385 ,128360.9855 ,86088.2800 ,45433.8055 ,17367.8885 ,4013.1070 ,505.3720 ,2034484.1565 ,5160721.4350 ,759242.8000 ,2793726.9565 ,0.394224758,0.147119508,0.541344266
73,Estimates,World,,900,,,1,World,0,2022,  663 098,  691 894,  675 828,  636 203,  611 997,  600 003,  610 765,  571 809,  511 802,  473 854,  455 885,  409 853,  325 757,  282 340,  210 295,  133 621,  87 229,  46 685,  17 840,  4 122,   524,,663098.2340 ,691894.1020 ,675827.8285 ,636203.3405 ,611997.2230 ,600002.9995 ,610764.5300 ,571809.4245 ,511802.1815 ,473853.9750 ,455884.7675 ,409853.4900 ,325757.4550 ,282340.0735 ,210295.3380 ,133621.0300 ,87228.8545 ,46685.4430 ,17840.0825 ,4122.3540 ,524.4655 ,2030820.1645 ,5207929.3865 ,782657.6410 ,2813477.8055 ,0.389947715,0.150281923,0.540229638
74,Estimates,World,,900,,,1,World,0,2023,  654 028,  688 865,  681 689,  643 194,  615 192,  599 823,  608 328,  581 552,  523 789,  474 210,  461 087,  414 181,  336 881,  288 654,  219 433,  140 706,  88 626,  48 202,  18 444,  4 302,   550,,654028.3225 ,688865.4455 ,681688.9860 ,643194.0655 ,615192.1610 ,599822.5160 ,608328.2390 ,581551.6030 ,523789.1325 ,474209.5125 ,461086.5470 ,414181.1905 ,336881.1245 ,288653.7665 ,219433.1490 ,140705.6055 ,88625.6385 ,48202.0685 ,18444.2545 ,4301.8305 ,549.7715 ,2024582.7540 ,5258236.0915 ,808916.0845 ,2833498.8385 ,0.385030782,0.153837916,0.538868698
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Total population by five-year age group, both sexes combined (thousands)",,,,,,,,,,,,,,,,,,,,,,CORRECTED (WITHOUT GAP),,,,,,,,,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,NO OF CHILDREN(<15 YRS),(15-64 YRS),NO OF ADULT(>65 YRS),CHILD + ADULT,CDR(BANGLADESH),ADR(BANGLADESH),TDR(BANGLADESH)
8515,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1950,  6 747,  5 444,  4 768,  4 171,  3 595,  3 120,  2 679,  2 299,  1 947,  1 653,  1 334,  1 062,   783,   631,   524,   321,   105,   20,   2,   0,   0,,6746.815 ,5444.461 ,4767.984 ,4171.330 ,3595.163 ,3120.384 ,2679.170 ,2299.212 ,1947.389 ,1652.714 ,1334.405 ,1061.854 ,782.814 ,630.533 ,523.882 ,321.436 ,105.364 ,19.991 ,1.869 ,0.087 ,0.002 ,16959.2595 ,22644.4335 ,1603.1630 ,18562.4225 ,0.748937239,0.070797223,0.819734461
8516,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1951,  6 843,  5 567,  4 866,  4 267,  3 682,  3 193,  2 744,  2 355,  1 996,  1 693,  1 372,  1 090,   796,   614,   503,   312,   108,   20,   1,   0,   0,,6842.665 ,5567.095 ,4865.589 ,4266.914 ,3682.407 ,3193.466 ,2743.635 ,2355.086 ,1995.819 ,1693.128 ,1372.212 ,1090.019 ,795.891 ,614.291 ,502.519 ,312.356 ,107.993 ,19.643 ,1.495 ,0.079 ,0.007 ,17275.3480 ,23188.5750 ,1558.3805 ,18833.7285 ,0.744993946,0.067204669,0.812198615
8517,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1952,  6 976,  5 684,  4 963,  4 365,  3 774,  3 265,  2 811,  2 410,  2 048,  1 731,  1 414,  1 117,   817,   603,   481,   304,   111,   19,   1,   0,   0,,6976.271 ,5683.904 ,4962.858 ,4364.566 ,3774.149 ,3265.214 ,2810.684 ,2410.118 ,2047.610 ,1731.049 ,1413.703 ,1116.565 ,817.051 ,602.929 ,480.806 ,304.176 ,111.079 ,18.848 ,1.352 ,0.079 ,0.007 ,17623.0320 ,23750.7060 ,1519.2730 ,19142.3050 ,0.742000343,0.063967488,0.805967831
8518,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1953,  7 175,  5 762,  5 063,  4 460,  3 864,  3 332,  2 876,  2 463,  2 100,  1 767,  1 456,  1 143,   843,   597,   460,   296,   113,   18,   1,   0,   0,,7175.333 ,5761.629 ,5062.921 ,4460.492 ,3863.959 ,3332.457 ,2876.086 ,2462.803 ,2100.059 ,1767.143 ,1456.346 ,1142.526 ,843.121 ,596.789 ,460.385 ,296.451 ,113.154 ,18.415 ,1.282 ,0.043 ,0.002 ,17999.8825 ,24304.9895 ,1486.5195 ,19486.4020 ,0.740583842,0.061161084,0.801744926
8519,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1954,  7 449,  5 798,  5 172,  4 555,  3 952,  3 401,  2 940,  2 516,  2 152,  1 805,  1 498,  1 171,   870,   597,   444,   288,   113,   19,   1,   0,0,,7448.658 ,5797.918 ,5171.561 ,4554.927 ,3951.715 ,3400.950 ,2940.315 ,2516.172 ,2152.001 ,1805.277 ,1497.603 ,1171.233 ,870.204 ,596.964 ,443.851 ,288.333 ,113.438 ,18.898 ,1.271 ,0.013 ,0.000 ,18418.1365 ,24860.3935 ,1462.7655 ,19880.9020 ,0.74086263,0.058839193,0.799701823
8520,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1955,  7 737,  5 858,  5 290,  4 651,  4 040,  3 475,  3 006,  2 573,  2 204,  1 847,  1 537,  1 204,   897,   604,   432,   280,   112,   20,   1,   0,0,,7736.501 ,5858.019 ,5289.573 ,4650.714 ,4040.160 ,3475.392 ,3006.026 ,2572.683 ,2204.002 ,1847.327 ,1537.331 ,1203.760 ,896.896 ,603.612 ,432.123 ,279.842 ,112.396 ,19.995 ,1.329 ,0.008 ,0.000 ,18884.0915 ,25434.2895 ,1449.3030 ,20333.3945 ,0.742465855,0.056982248,0.799448103
8521,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1956,  8 013,  5 965,  5 411,  4 747,  4 130,  3 554,  3 072,  2 632,  2 256,  1 892,  1 575,  1 239,   923,   617,   424,   271,   111,   21,   1,   0,0,,8013.175 ,5965.274 ,5410.900 ,4746.786 ,4129.934 ,3554.372 ,3071.754 ,2631.550 ,2255.508 ,1892.405 ,1575.236 ,1239.420 ,922.940 ,616.534 ,423.896 ,271.043 ,111.109 ,21.215 ,1.362 ,0.008 ,0.000 ,19389.3490 ,26019.9025 ,1445.1655 ,20834.5145 ,0.745173776,0.055540773,0.800714549
8522,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1957,  8 301,  6 107,  5 527,  4 843,  4 223,  3 638,  3 137,  2 693,  2 306,  1 941,  1 611,  1 279,   948,   636,   419,   262,   110,   22,   1,   0,0,,8300.886 ,6107.499 ,5527.045 ,4842.998 ,4222.626 ,3638.387 ,3136.596 ,2693.219 ,2306.412 ,1940.834 ,1610.996 ,1278.588 ,947.861 ,635.812 ,418.873 ,262.053 ,110.214 ,22.412 ,1.354 ,0.009 ,0.000 ,19935.4300 ,26618.5150 ,1450.7240 ,21386.1540 ,0.74893096,0.054500561,0.803431521
8523,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1958,  8 598,  6 313,  5 606,  4 939,  4 310,  3 719,  3 197,  2 754,  2 355,  1 990,  1 645,  1 319,   973,   659,   417,   254,   109,   23,   1,   0,0,,8598.331 ,6313.328 ,5605.798 ,4939.196 ,4310.481 ,3719.445 ,3197.140 ,2753.689 ,2355.411 ,1990.162 ,1645.316 ,1319.024 ,972.572 ,659.023 ,417.407 ,253.722 ,109.350 ,23.312 ,1.339 ,0.010 ,0.000 ,20517.4565 ,27202.4355 ,1464.1615 ,21981.6180 ,0.754250718,0.053824647,0.808075365
8524,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1959,  8 906,  6 590,  5 645,  5 046,  4 401,  3 803,  3 263,  2 816,  2 407,  2 040,  1 682,  1 359,  1 000,   683,   420,   247,   108,   24,   1,   0,0,,8906.271 ,6590.143 ,5645.012 ,5046.341 ,4401.151 ,3803.046 ,3262.550 ,2815.561 ,2406.649 ,2039.962 ,1682.134 ,1358.558 ,999.911 ,683.130 ,420.410 ,247.418 ,108.133 ,23.910 ,1.471 ,0.008 ,0.000 ,21141.4255 ,27815.8595 ,1484.4770 ,22625.9025 ,0.760049334,0.053368008,0.813417342
8525,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1960,  9 229,  6 880,  5 707,  5 169,  4 504,  3 897,  3 340,  2 883,  2 464,  2 091,  1 724,  1 397,  1 031,   707,   428,   244,   107,   24,   2,   0,   0,,9229.318 ,6879.850 ,5707.382 ,5169.321 ,4504.086 ,3896.769 ,3340.349 ,2883.178 ,2463.568 ,2091.422 ,1723.572 ,1397.275 ,1030.896 ,707.130 ,428.104 ,243.667 ,106.631 ,24.356 ,1.766 ,0.023 ,0.002 ,21816.5495 ,28500.4330 ,1511.6780 ,23328.2275 ,0.765481335,0.053040527,0.818521862
8526,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1961,  9 570,  7 160,  5 815,  5 297,  4 611,  3 996,  3 426,  2 953,  2 524,  2 143,  1 769,  1 435,  1 065,   731,   440,   242,   105,   25,   2,   0,   0,,9570.148 ,7159.649 ,5815.401 ,5297.001 ,4611.430 ,3996.174 ,3425.971 ,2953.223 ,2524.364 ,2143.486 ,1768.580 ,1434.887 ,1065.005 ,730.960 ,440.424 ,241.763 ,104.956 ,24.796 ,2.072 ,0.058 ,0.008 ,22545.1970 ,29220.1170 ,1545.0335 ,24090.2305 ,0.771564227,0.052875678,0.824439906
8527,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1962,  9 927,  7 451,  5 958,  5 419,  4 721,  4 101,  3 519,  3 024,  2 589,  2 196,  1 817,  1 471,  1 103,   754,   457,   242,   103,   25,   2,   0,   0,,9927.350 ,7450.763 ,5958.177 ,5419.328 ,4720.547 ,4101.171 ,3518.961 ,3024.254 ,2589.153 ,2195.881 ,1817.375 ,1471.110 ,1102.594 ,754.322 ,457.489 ,241.600 ,103.258 ,25.367 ,2.353 ,0.087 ,0.012 ,23336.2890 ,29960.3715 ,1584.4855 ,24920.7745 ,0.778905195,0.052886043,0.831791238
8528,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1963,  10 281,  7 751,  6 164,  5 504,  4 832,  4 209,  3 616,  3 096,  2 656,  2 249,  1 868,  1 507,  1 142,   778,   477,   243,   102,   26,   3,   0,   0,,10281.267 ,7750.980 ,6163.774 ,5503.871 ,4832.439 ,4208.633 ,3616.239 ,3096.407 ,2656.269 ,2248.609 ,1868.284 ,1506.809 ,1141.703 ,777.816 ,477.443 ,243.442 ,101.795 ,25.920 ,2.587 ,0.106 ,0.014 ,24196.0205 ,30679.2600 ,1629.1215 ,25825.1420 ,0.788676797,0.053101721,0.841778517
8529,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1964,  10 624,  8 060,  6 439,  5 548,  4 952,  4 316,  3 715,  3 173,  2 724,  2 303,  1 920,  1 545,  1 180,   804,   498,   248,   101,   26,   3,   0,   0,,10623.878 ,8059.957 ,6439.290 ,5547.879 ,4951.758 ,4316.427 ,3714.683 ,3172.593 ,2724.379 ,2303.275 ,1919.536 ,1544.796 ,1180.070 ,803.533 ,498.063 ,247.957 ,101.064 ,26.320 ,2.782 ,0.125 ,0.014 ,25123.1240 ,31375.3935 ,1679.8560 ,26802.9800 ,0.800726977,0.053540556,0.854267533
8530,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1965,  10 944,  8 380,  6 726,  5 613,  5 080,  4 426,  3 814,  3 254,  2 794,  2 361,  1 971,  1 586,  1 217,   832,   518,   255,   101,   27,   3,   0,   0,,10943.872 ,8379.744 ,6726.269 ,5613.377 ,5080.364 ,4426.441 ,3814.170 ,3254.366 ,2793.709 ,2360.528 ,1970.503 ,1585.836 ,1217.007 ,831.777 ,518.360 ,255.221 ,101.244 ,26.588 ,2.968 ,0.161 ,0.018 ,26049.8840 ,32116.3000 ,1736.3350 ,27786.2190 ,0.811110993,0.05406398,0.865174973
8531,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1966,  11 246,  8 715,  7 003,  5 722,  5 209,  4 535,  3 914,  3 340,  2 863,  2 420,  2 021,  1 630,  1 253,   862,   539,   265,   102,   27,   3,   0,   0,,11245.890 ,8714.907 ,7003.350 ,5721.787 ,5208.733 ,4534.916 ,3914.379 ,3340.363 ,2863.217 ,2420.117 ,2021.206 ,1629.661 ,1252.792 ,862.494 ,538.533 ,265.240 ,102.102 ,26.795 ,3.139 ,0.171 ,0.017 ,26964.1460 ,32907.1690 ,1798.4905 ,28762.6365 ,0.819400356,0.054653456,0.874053812
8532,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1967,  11 551,  9 064,  7 292,  5 863,  5 329,  4 642,  4 018,  3 432,  2 933,  2 483,  2 072,  1 677,  1 288,   896,   559,   278,   104,   27,   3,   0,   0,,11550.743 ,9064.094 ,7291.916 ,5863.255 ,5328.937 ,4641.839 ,4017.563 ,3431.951 ,2932.868 ,2483.177 ,2072.178 ,1677.082 ,1287.723 ,896.399 ,558.708 ,278.216 ,103.725 ,27.048 ,3.327 ,0.171 ,0.015 ,27906.7520 ,33736.5695 ,1867.6070 ,29774.3590 ,0.827195901,0.055358533,0.882554434
8533,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1968,  11 860,  9 412,  7 591,  6 067,  5 411,  4 751,  4 123,  3 527,  3 004,  2 549,  2 124,  1 727,  1 323,   932,   579,   293,   106,   27,   4,   0,   0,,11859.964 ,9411.731 ,7590.757 ,6066.656 ,5411.425 ,4750.639 ,4122.550 ,3527.366 ,3003.578 ,2548.610 ,2123.705 ,1726.677 ,1322.609 ,931.961 ,579.425 ,293.165 ,106.332 ,27.421 ,3.524 ,0.174 ,0.011 ,28862.4520 ,34603.8130 ,1942.0110 ,30804.4630 ,0.834082995,0.056121301,0.890204296
8534,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1969,  12 178,  9 746,  7 897,  6 331,  5 440,  4 853,  4 217,  3 617,  3 074,  2 612,  2 175,  1 776,  1 359,   967,   602,   309,   110,   28,   4,   0,   0,,12177.826 ,9746.113 ,7896.840 ,6331.218 ,5440.061 ,4852.837 ,4217.418 ,3616.828 ,3073.736 ,2612.258 ,2175.414 ,1775.558 ,1359.048 ,966.795 ,601.886 ,308.543 ,110.151 ,27.892 ,3.590 ,0.121 ,0.004 ,29820.7780 ,35454.3745 ,2018.9800 ,31839.7580 ,0.841102922,0.056945864,0.898048787
8535,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1970,  12 454,  10 030,  8 201,  6 600,  5 479,  4 951,  4 303,  3 698,  3 142,  2 671,  2 225,  1 820,  1 395,   998,   624,   323,   115,   28,   4,   0,   0,,12453.759 ,10029.699 ,8201.054 ,6599.742 ,5479.156 ,4951.157 ,4302.549 ,3697.580 ,3141.778 ,2671.180 ,2224.736 ,1819.892 ,1394.685 ,997.743 ,624.383 ,323.057 ,114.782 ,28.326 ,3.563 ,0.076 ,0.001 ,30684.5120 ,36282.4535 ,2091.9290 ,32776.4410 ,0.845712157,0.057656768,0.903368925
8536,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1971,  12 560,  10 239,  8 499,  6 841,  5 530,  5 017,  4 359,  3 751,  3 187,  2 703,  2 249,  1 836,  1 405,  1 002,   627,   328,   115,   26,   3,   0,   0,,12559.863 ,10239.351 ,8499.139 ,6840.591 ,5530.491 ,5016.915 ,4358.919 ,3751.386 ,3186.886 ,2702.564 ,2249.064 ,1835.880 ,1405.229 ,1001.562 ,627.273 ,327.766 ,114.620 ,25.998 ,3.031 ,0.206 ,0.031 ,31298.3525 ,36877.9210 ,2100.4850 ,33398.8375 ,0.848701653,0.056957793,0.905659446
8537,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1972,  12 766,  10 454,  8 813,  7 091,  5 604,  5 061,  4 404,  3 803,  3 236,  2 735,  2 278,  1 855,  1 422,  1 008,   634,   333,   117,   24,   2,   0,   0,,12766.268 ,10454.498 ,8812.562 ,7090.696 ,5603.942 ,5061.246 ,4403.907 ,3803.244 ,3235.523 ,2734.641 ,2278.282 ,1854.961 ,1421.998 ,1008.230 ,634.462 ,332.892 ,117.226 ,24.303 ,2.432 ,0.169 ,0.041 ,32033.3275 ,37488.4375 ,2119.7540 ,34153.0815 ,0.854485533,0.056544208,0.911029741
8538,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1973,  13 206,  10 705,  9 140,  7 379,  5 781,  5 107,  4 479,  3 886,  3 316,  2 797,  2 338,  1 904,  1 470,  1 043,   666,   348,   128,   26,   3,   0,   0,,13206.466 ,10705.431 ,9139.661 ,7378.948 ,5781.061 ,5106.751 ,4478.907 ,3885.597 ,3315.642 ,2796.921 ,2338.128 ,1904.217 ,1469.778 ,1043.297 ,665.962 ,348.406 ,128.189 ,26.378 ,2.533 ,0.012 ,0.014 ,33051.5570 ,38455.9475 ,2214.7895 ,35266.3465 ,0.859465418,0.057592899,0.917058317
8539,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1974,  13 659,  10 946,  9 452,  7 676,  6 029,  5 113,  4 557,  3 965,  3 395,  2 862,  2 398,  1 955,  1 518,  1 080,   698,   365,   139,   29,   3,   0,   0,,13659.431 ,10945.541 ,9452.396 ,7676.050 ,6028.580 ,5112.955 ,4557.262 ,3965.324 ,3394.690 ,2861.813 ,2398.232 ,1954.766 ,1517.610 ,1080.121 ,698.244 ,365.316 ,139.333 ,28.935 ,2.724 ,0.027 ,0.005 ,34057.3670 ,39467.2785 ,2314.7020 ,36372.0690 ,0.862926665,0.058648635,0.921575299
8540,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1975,  14 120,  11 181,  9 680,  7 935,  6 289,  5 148,  4 640,  4 037,  3 463,  2 920,  2 451,  2 003,  1 565,  1 120,   731,   384,   150,   32,   3,   0,   0,,14120.361 ,11181.467 ,9679.752 ,7934.904 ,6288.892 ,5147.934 ,4640.017 ,4037.194 ,3462.644 ,2920.489 ,2450.807 ,2003.426 ,1565.434 ,1119.814 ,731.018 ,384.483 ,150.445 ,32.170 ,3.069 ,0.036 ,0.001 ,34981.5790 ,40451.7380 ,2421.0335 ,37402.6125 ,0.864773202,0.059849925,0.924623127
8541,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1976,  14 570,  11 440,  9 832,  8 155,  6 551,  5 256,  4 738,  4 111,  3 528,  2 976,  2 497,  2 051,  1 614,  1 163,   765,   406,   162,   36,   4,   0,0,,14570.464 ,11439.984 ,9832.477 ,8155.075 ,6551.483 ,5255.557 ,4738.208 ,4110.603 ,3527.522 ,2975.988 ,2497.257 ,2050.785 ,1614.152 ,1162.911 ,764.633 ,406.413 ,161.716 ,36.321 ,3.711 ,0.061 ,0.000 ,35842.9250 ,41476.6280 ,2535.7650 ,38378.6900 ,0.864171625,0.061137202,0.925308827
8542,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1977,  14 945,  11 775,  9 989,  8 356,  6 806,  5 401,  4 834,  4 182,  3 594,  3 034,  2 541,  2 098,  1 661,  1 208,   797,   430,   172,   41,   4,   0,0,,14944.774 ,11774.945 ,9988.809 ,8355.710 ,6806.407 ,5400.662 ,4833.698 ,4182.191 ,3594.034 ,3033.513 ,2540.976 ,2097.565 ,1661.152 ,1207.620 ,797.239 ,430.261 ,172.351 ,40.922 ,4.335 ,0.105 ,0.000 ,36708.5275 ,42505.9045 ,2652.8315 ,39361.3590 ,0.863610078,0.062410894,0.926020972
8543,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1978,  15 255,  12 178,  10 156,  8 531,  7 050,  5 608,  4 900,  4 256,  3 662,  3 092,  2 583,  2 143,  1 706,  1 253,   829,   455,   183,   46,   5,   0,   0,,15255.089 ,12178.459 ,10156.157 ,8530.617 ,7049.517 ,5608.456 ,4899.613 ,4255.690 ,3661.546 ,3091.846 ,2583.030 ,2143.080 ,1706.267 ,1252.829 ,829.077 ,455.002 ,182.534 ,45.717 ,4.977 ,0.157 ,0.001 ,37589.7045 ,43529.6595 ,2770.2910 ,40359.9955 ,0.863542351,0.063641458,0.927183809
8544,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1979,  15 556,  12 611,  10 336,  8 678,  7 277,  5 882,  4 934,  4 337,  3 728,  3 149,  2 626,  2 186,  1 750,  1 297,   861,   479,   193,   50,   6,   0,   0,,15556.045 ,12610.807 ,10336.117 ,8678.267 ,7276.545 ,5881.531 ,4934.117 ,4336.503 ,3728.374 ,3148.542 ,2625.771 ,2186.278 ,1749.871 ,1296.991 ,861.209 ,479.133 ,192.780 ,50.311 ,5.675 ,0.209 ,0.001 ,38502.9680 ,44545.7965 ,2886.3070 ,41389.2750 ,0.864345708,0.06479415,0.929139857
8545,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1980,  15 854,  13 063,  10 539,  8 802,  7 490,  6 162,  4 994,  4 426,  3 795,  3 203,  2 670,  2 227,  1 792,  1 339,   894,   502,   203,   54,   6,   0,   0,,15854.368 ,13062.571 ,10538.949 ,8801.573 ,7489.742 ,6161.826 ,4994.439 ,4426.270 ,3794.883 ,3203.093 ,2670.002 ,2227.356 ,1791.949 ,1339.214 ,893.798 ,501.962 ,203.265 ,54.480 ,6.436 ,0.258 ,0.001 ,39455.8880 ,45561.1315 ,2999.4120 ,42455.3000 ,0.865998861,0.065832693,0.931831555
8546,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1981,  16 159,  13 506,  10 836,  8 965,  7 702,  6 422,  5 108,  4 530,  3 871,  3 268,  2 724,  2 270,  1 833,  1 379,   927,   523,   214,   58,   7,   0,   0,,16159.026 ,13505.713 ,10835.827 ,8964.998 ,7701.642 ,6422.491 ,5108.237 ,4529.665 ,3871.362 ,3268.062 ,2723.948 ,2270.450 ,1832.914 ,1379.195 ,926.509 ,523.340 ,214.011 ,58.166 ,7.248 ,0.306 ,0.001 ,40500.5650 ,46693.7660 ,3108.7735 ,43609.3385 ,0.867365571,0.066577913,0.933943484
8547,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1982,  16 470,  13 886,  11 247,  9 191,  7 914,  6 677,  5 267,  4 645,  3 967,  3 353,  2 792,  2 317,  1 874,  1 417,   959,   543,   225,   61,   8,   0,   0,,16470.246 ,13886.050 ,11247.454 ,9191.236 ,7914.038 ,6676.743 ,5266.618 ,4645.325 ,3966.519 ,3352.795 ,2792.117 ,2317.354 ,1873.750 ,1416.768 ,959.419 ,543.169 ,225.109 ,61.354 ,8.094 ,0.352 ,0.002 ,41603.7495 ,47996.4930 ,3214.2640 ,44818.0135 ,0.866808112,0.066968726,0.933776839
