,,,,,,,,,,,"Total population by five-year age group, both sexes combined (thousands)",,,,,,,,,,,,,,,,,,,,,,CORRECTED (WITHOUT GAP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,NO OF CHILDREN(<15 YRS),(15-64 YRS),NO OF ADULT(>65 YRS),CHILD + ADULT,TOTAL,CHILD+ADULT Diff,CHILD+ADULT GR,WP Diff,WP GR,Total Diff,Total GR
8515,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1950,  6 747,  5 444,  4 768,  4 171,  3 595,  3 120,  2 679,  2 299,  1 947,  1 653,  1 334,  1 062,   783,   631,   524,   321,   105,   20,   2,   0,   0,,6746.815 ,5444.461 ,4767.984 ,4171.330 ,3595.163 ,3120.384 ,2679.170 ,2299.212 ,1947.389 ,1652.714 ,1334.405 ,1061.854 ,782.814 ,630.533 ,523.882 ,321.436 ,105.364 ,19.991 ,1.869 ,0.087 ,0.002 ,16959.2595 ,22644.4335 ,1603.1630 ,18562.4225 ,41206.856 ,,,,,,
8516,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1951,  6 843,  5 567,  4 866,  4 267,  3 682,  3 193,  2 744,  2 355,  1 996,  1 693,  1 372,  1 090,   796,   614,   503,   312,   108,   20,   1,   0,   0,,6842.665 ,5567.095 ,4865.589 ,4266.914 ,3682.407 ,3193.466 ,2743.635 ,2355.086 ,1995.819 ,1693.128 ,1372.212 ,1090.019 ,795.891 ,614.291 ,502.519 ,312.356 ,107.993 ,19.643 ,1.495 ,0.079 ,0.007 ,17275.3480 ,23188.5750 ,1558.3805 ,18833.7285 ,42022.304 ,271.3060 ,0.658400146,544.1415 ,2.402981289,815.448 ,1.978912198
8517,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1952,  6 976,  5 684,  4 963,  4 365,  3 774,  3 265,  2 811,  2 410,  2 048,  1 731,  1 414,  1 117,   817,   603,   481,   304,   111,   19,   1,   0,   0,,6976.271 ,5683.904 ,4962.858 ,4364.566 ,3774.149 ,3265.214 ,2810.684 ,2410.118 ,2047.610 ,1731.049 ,1413.703 ,1116.565 ,817.051 ,602.929 ,480.806 ,304.176 ,111.079 ,18.848 ,1.352 ,0.079 ,0.007 ,17623.0320 ,23750.7060 ,1519.2730 ,19142.3050 ,42893.011 ,308.5765 ,0.734316004,562.1310 ,2.424172249,870.707 ,2.072012782
8518,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1953,  7 175,  5 762,  5 063,  4 460,  3 864,  3 332,  2 876,  2 463,  2 100,  1 767,  1 456,  1 143,   843,   597,   460,   296,   113,   18,   1,   0,   0,,7175.333 ,5761.629 ,5062.921 ,4460.492 ,3863.959 ,3332.457 ,2876.086 ,2462.803 ,2100.059 ,1767.143 ,1456.346 ,1142.526 ,843.121 ,596.789 ,460.385 ,296.451 ,113.154 ,18.415 ,1.282 ,0.043 ,0.002 ,17999.8825 ,24304.9895 ,1486.5195 ,19486.4020 ,43791.392 ,344.0970 ,0.802221602,554.2835 ,2.333755889,898.380 ,2.094468257
8519,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1954,  7 449,  5 798,  5 172,  4 555,  3 952,  3 401,  2 940,  2 516,  2 152,  1 805,  1 498,  1 171,   870,   597,   444,   288,   113,   19,   1,   0,0,,7448.658 ,5797.918 ,5171.561 ,4554.927 ,3951.715 ,3400.950 ,2940.315 ,2516.172 ,2152.001 ,1805.277 ,1497.603 ,1171.233 ,870.204 ,596.964 ,443.851 ,288.333 ,113.438 ,18.898 ,1.271 ,0.013 ,0.000 ,18418.1365 ,24860.3935 ,1462.7655 ,19880.9020 ,44741.296 ,394.5000 ,0.900861988,555.4040 ,2.285143962,949.904 ,2.169156922
8520,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1955,  7 737,  5 858,  5 290,  4 651,  4 040,  3 475,  3 006,  2 573,  2 204,  1 847,  1 537,  1 204,   897,   604,   432,   280,   112,   20,   1,   0,0,,7736.501 ,5858.019 ,5289.573 ,4650.714 ,4040.160 ,3475.392 ,3006.026 ,2572.683 ,2204.002 ,1847.327 ,1537.331 ,1203.760 ,896.896 ,603.612 ,432.123 ,279.842 ,112.396 ,19.995 ,1.329 ,0.008 ,0.000 ,18884.0915 ,25434.2895 ,1449.3030 ,20333.3945 ,45767.684 ,452.4925 ,1.011353147,573.8960 ,2.308475125,1026.389 ,2.294051812
8521,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1956,  8 013,  5 965,  5 411,  4 747,  4 130,  3 554,  3 072,  2 632,  2 256,  1 892,  1 575,  1 239,   923,   617,   424,   271,   111,   21,   1,   0,0,,8013.175 ,5965.274 ,5410.900 ,4746.786 ,4129.934 ,3554.372 ,3071.754 ,2631.550 ,2255.508 ,1892.405 ,1575.236 ,1239.420 ,922.940 ,616.534 ,423.896 ,271.043 ,111.109 ,21.215 ,1.362 ,0.008 ,0.000 ,19389.3490 ,26019.9025 ,1445.1655 ,20834.5145 ,46854.417 ,501.1200 ,1.094921036,585.6130 ,2.302454724,1086.733 ,2.374454866
8522,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1957,  8 301,  6 107,  5 527,  4 843,  4 223,  3 638,  3 137,  2 693,  2 306,  1 941,  1 611,  1 279,   948,   636,   419,   262,   110,   22,   1,   0,0,,8300.886 ,6107.499 ,5527.045 ,4842.998 ,4222.626 ,3638.387 ,3136.596 ,2693.219 ,2306.412 ,1940.834 ,1610.996 ,1278.588 ,947.861 ,635.812 ,418.873 ,262.053 ,110.214 ,22.412 ,1.354 ,0.009 ,0.000 ,19935.4300 ,26618.5150 ,1450.7240 ,21386.1540 ,48004.669 ,551.6395 ,1.177347912,598.6125 ,2.300594708,1150.252 ,2.454948911
8523,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1958,  8 598,  6 313,  5 606,  4 939,  4 310,  3 719,  3 197,  2 754,  2 355,  1 990,  1 645,  1 319,   973,   659,   417,   254,   109,   23,   1,   0,0,,8598.331 ,6313.328 ,5605.798 ,4939.196 ,4310.481 ,3719.445 ,3197.140 ,2753.689 ,2355.411 ,1990.162 ,1645.316 ,1319.024 ,972.572 ,659.023 ,417.407 ,253.722 ,109.350 ,23.312 ,1.339 ,0.010 ,0.000 ,20517.4565 ,27202.4355 ,1464.1615 ,21981.6180 ,49184.054 ,595.4640 ,1.240429342,583.9205 ,2.193662945,1179.385 ,2.456812066
8524,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1959,  8 906,  6 590,  5 645,  5 046,  4 401,  3 803,  3 263,  2 816,  2 407,  2 040,  1 682,  1 359,  1 000,   683,   420,   247,   108,   24,   1,   0,0,,8906.271 ,6590.143 ,5645.012 ,5046.341 ,4401.151 ,3803.046 ,3262.550 ,2815.561 ,2406.649 ,2039.962 ,1682.134 ,1358.558 ,999.911 ,683.130 ,420.410 ,247.418 ,108.133 ,23.910 ,1.471 ,0.008 ,0.000 ,21141.4255 ,27815.8595 ,1484.4770 ,22625.9025 ,50441.762 ,644.2845 ,1.309945916,613.4240 ,2.255033377,1257.709 ,2.557146901
8525,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1960,  9 229,  6 880,  5 707,  5 169,  4 504,  3 897,  3 340,  2 883,  2 464,  2 091,  1 724,  1 397,  1 031,   707,   428,   244,   107,   24,   2,   0,   0,,9229.318 ,6879.850 ,5707.382 ,5169.321 ,4504.086 ,3896.769 ,3340.349 ,2883.178 ,2463.568 ,2091.422 ,1723.572 ,1397.275 ,1030.896 ,707.130 ,428.104 ,243.667 ,106.631 ,24.356 ,1.766 ,0.023 ,0.002 ,21816.5495 ,28500.4330 ,1511.6780 ,23328.2275 ,51828.661 ,702.3250 ,1.392348269,684.5735 ,2.461090588,1386.898 ,2.749504468
8526,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1961,  9 570,  7 160,  5 815,  5 297,  4 611,  3 996,  3 426,  2 953,  2 524,  2 143,  1 769,  1 435,  1 065,   731,   440,   242,   105,   25,   2,   0,   0,,9570.148 ,7159.649 ,5815.401 ,5297.001 ,4611.430 ,3996.174 ,3425.971 ,2953.223 ,2524.364 ,2143.486 ,1768.580 ,1434.887 ,1065.005 ,730.960 ,440.424 ,241.763 ,104.956 ,24.796 ,2.072 ,0.058 ,0.008 ,22545.1970 ,29220.1170 ,1545.0335 ,24090.2305 ,53310.348 ,762.0030 ,1.470234794,719.6840 ,2.525168653,1481.687 ,2.858817854
8527,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1962,  9 927,  7 451,  5 958,  5 419,  4 721,  4 101,  3 519,  3 024,  2 589,  2 196,  1 817,  1 471,  1 103,   754,   457,   242,   103,   25,   2,   0,   0,,9927.350 ,7450.763 ,5958.177 ,5419.328 ,4720.547 ,4101.171 ,3518.961 ,3024.254 ,2589.153 ,2195.881 ,1817.375 ,1471.110 ,1102.594 ,754.322 ,457.489 ,241.600 ,103.258 ,25.367 ,2.353 ,0.087 ,0.012 ,23336.2890 ,29960.3715 ,1584.4855 ,24920.7745 ,54881.146 ,830.5440 ,1.557941448,740.2545 ,2.533372813,1570.799 ,2.94651709
8528,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1963,  10 281,  7 751,  6 164,  5 504,  4 832,  4 209,  3 616,  3 096,  2 656,  2 249,  1 868,  1 507,  1 142,   778,   477,   243,   102,   26,   3,   0,   0,,10281.267 ,7750.980 ,6163.774 ,5503.871 ,4832.439 ,4208.633 ,3616.239 ,3096.407 ,2656.269 ,2248.609 ,1868.284 ,1506.809 ,1141.703 ,777.816 ,477.443 ,243.442 ,101.795 ,25.920 ,2.587 ,0.106 ,0.014 ,24196.0205 ,30679.2600 ,1629.1215 ,25825.1420 ,56504.402 ,904.3675 ,1.647865553,718.8885 ,2.399464573,1623.256 ,2.957766224
8529,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1964,  10 624,  8 060,  6 439,  5 548,  4 952,  4 316,  3 715,  3 173,  2 724,  2 303,  1 920,  1 545,  1 180,   804,   498,   248,   101,   26,   3,   0,   0,,10623.878 ,8059.957 ,6439.290 ,5547.879 ,4951.758 ,4316.427 ,3714.683 ,3172.593 ,2724.379 ,2303.275 ,1919.536 ,1544.796 ,1180.070 ,803.533 ,498.063 ,247.957 ,101.064 ,26.320 ,2.782 ,0.125 ,0.014 ,25123.1240 ,31375.3935 ,1679.8560 ,26802.9800 ,58178.374 ,977.8380 ,1.730551896,696.1335 ,2.269068745,1673.972 ,2.962550599
8530,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1965,  10 944,  8 380,  6 726,  5 613,  5 080,  4 426,  3 814,  3 254,  2 794,  2 361,  1 971,  1 586,  1 217,   832,   518,   255,   101,   27,   3,   0,   0,,10943.872 ,8379.744 ,6726.269 ,5613.377 ,5080.364 ,4426.441 ,3814.170 ,3254.366 ,2793.709 ,2360.528 ,1970.503 ,1585.836 ,1217.007 ,831.777 ,518.360 ,255.221 ,101.244 ,26.588 ,2.968 ,0.161 ,0.018 ,26049.8840 ,32116.3000 ,1736.3350 ,27786.2190 ,59902.519 ,983.2390 ,1.690042091,740.9065 ,2.361425363,1724.145 ,2.963550537
8531,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1966,  11 246,  8 715,  7 003,  5 722,  5 209,  4 535,  3 914,  3 340,  2 863,  2 420,  2 021,  1 630,  1 253,   862,   539,   265,   102,   27,   3,   0,   0,,11245.890 ,8714.907 ,7003.350 ,5721.787 ,5208.733 ,4534.916 ,3914.379 ,3340.363 ,2863.217 ,2420.117 ,2021.206 ,1629.661 ,1252.792 ,862.494 ,538.533 ,265.240 ,102.102 ,26.795 ,3.139 ,0.171 ,0.017 ,26964.1460 ,32907.1690 ,1798.4905 ,28762.6365 ,61669.806 ,976.4175 ,1.630010751,790.8690 ,2.462515919,1767.287 ,2.950270756
8532,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1967,  11 551,  9 064,  7 292,  5 863,  5 329,  4 642,  4 018,  3 432,  2 933,  2 483,  2 072,  1 677,  1 288,   896,   559,   278,   104,   27,   3,   0,   0,,11550.743 ,9064.094 ,7291.916 ,5863.255 ,5328.937 ,4641.839 ,4017.563 ,3431.951 ,2932.868 ,2483.177 ,2072.178 ,1677.082 ,1287.723 ,896.399 ,558.708 ,278.216 ,103.725 ,27.048 ,3.327 ,0.171 ,0.015 ,27906.7520 ,33736.5695 ,1867.6070 ,29774.3590 ,63510.929 ,1011.7225 ,1.640547577,829.4005 ,2.520424957,1841.123 ,2.985452905
8533,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1968,  11 860,  9 412,  7 591,  6 067,  5 411,  4 751,  4 123,  3 527,  3 004,  2 549,  2 124,  1 727,  1 323,   932,   579,   293,   106,   27,   4,   0,   0,,11859.964 ,9411.731 ,7590.757 ,6066.656 ,5411.425 ,4750.639 ,4122.550 ,3527.366 ,3003.578 ,2548.610 ,2123.705 ,1726.677 ,1322.609 ,931.961 ,579.425 ,293.165 ,106.332 ,27.421 ,3.524 ,0.174 ,0.011 ,28862.4520 ,34603.8130 ,1942.0110 ,30804.4630 ,65408.276 ,1030.1040 ,1.621931885,867.2435 ,2.57063333,1897.348 ,2.987434674
8534,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1969,  12 178,  9 746,  7 897,  6 331,  5 440,  4 853,  4 217,  3 617,  3 074,  2 612,  2 175,  1 776,  1 359,   967,   602,   309,   110,   28,   4,   0,   0,,12177.826 ,9746.113 ,7896.840 ,6331.218 ,5440.061 ,4852.837 ,4217.418 ,3616.828 ,3073.736 ,2612.258 ,2175.414 ,1775.558 ,1359.048 ,966.795 ,601.886 ,308.543 ,110.151 ,27.892 ,3.590 ,0.121 ,0.004 ,29820.7780 ,35454.3745 ,2018.9800 ,31839.7580 ,67294.133 ,1035.2950 ,1.582819581,850.5615 ,2.457999354,1885.856 ,2.883207776
8535,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1970,  12 454,  10 030,  8 201,  6 600,  5 479,  4 951,  4 303,  3 698,  3 142,  2 671,  2 225,  1 820,  1 395,   998,   624,   323,   115,   28,   4,   0,   0,,12453.759 ,10029.699 ,8201.054 ,6599.742 ,5479.156 ,4951.157 ,4302.549 ,3697.580 ,3141.778 ,2671.180 ,2224.736 ,1819.892 ,1394.685 ,997.743 ,624.383 ,323.057 ,114.782 ,28.326 ,3.563 ,0.076 ,0.001 ,30684.5120 ,36282.4535 ,2091.9290 ,32776.4410 ,69058.895 ,936.6830 ,1.391923731,828.0790 ,2.335618698,1764.762 ,2.622460435
8536,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1971,  12 560,  10 239,  8 499,  6 841,  5 530,  5 017,  4 359,  3 751,  3 187,  2 703,  2 249,  1 836,  1 405,  1 002,   627,   328,   115,   26,   3,   0,   0,,12559.863 ,10239.351 ,8499.139 ,6840.591 ,5530.491 ,5016.915 ,4358.919 ,3751.386 ,3186.886 ,2702.564 ,2249.064 ,1835.880 ,1405.229 ,1001.562 ,627.273 ,327.766 ,114.620 ,25.998 ,3.031 ,0.206 ,0.031 ,31298.3525 ,36877.9210 ,2100.4850 ,33398.8375 ,70276.759 ,622.3965 ,0.901254653,595.4675 ,1.64119965,1217.864 ,1.763515053
8537,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1972,  12 766,  10 454,  8 813,  7 091,  5 604,  5 061,  4 404,  3 803,  3 236,  2 735,  2 278,  1 855,  1 422,  1 008,   634,   333,   117,   24,   2,   0,   0,,12766.268 ,10454.498 ,8812.562 ,7090.696 ,5603.942 ,5061.246 ,4403.907 ,3803.244 ,3235.523 ,2734.641 ,2278.282 ,1854.961 ,1421.998 ,1008.230 ,634.462 ,332.892 ,117.226 ,24.303 ,2.432 ,0.169 ,0.041 ,32033.3275 ,37488.4375 ,2119.7540 ,34153.0815 ,71641.519 ,754.2440 ,1.073248135,610.5165 ,1.655506828,1364.761 ,1.941979865
8538,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1973,  13 206,  10 705,  9 140,  7 379,  5 781,  5 107,  4 479,  3 886,  3 316,  2 797,  2 338,  1 904,  1 470,  1 043,   666,   348,   128,   26,   3,   0,   0,,13206.466 ,10705.431 ,9139.661 ,7378.948 ,5781.061 ,5106.751 ,4478.907 ,3885.597 ,3315.642 ,2796.921 ,2338.128 ,1904.217 ,1469.778 ,1043.297 ,665.962 ,348.406 ,128.189 ,26.378 ,2.533 ,0.012 ,0.014 ,33051.5570 ,38455.9475 ,2214.7895 ,35266.3465 ,73722.294 ,1113.2650 ,1.553938297,967.5100 ,2.58082242,2080.775 ,2.904426133
8539,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1974,  13 659,  10 946,  9 452,  7 676,  6 029,  5 113,  4 557,  3 965,  3 395,  2 862,  2 398,  1 955,  1 518,  1 080,   698,   365,   139,   29,   3,   0,   0,,13659.431 ,10945.541 ,9452.396 ,7676.050 ,6028.580 ,5112.955 ,4557.262 ,3965.324 ,3394.690 ,2861.813 ,2398.232 ,1954.766 ,1517.610 ,1080.121 ,698.244 ,365.316 ,139.333 ,28.935 ,2.724 ,0.027 ,0.005 ,34057.3670 ,39467.2785 ,2314.7020 ,36372.0690 ,75839.348 ,1105.7225 ,1.499848201,1011.3310 ,2.629842887,2117.053 ,2.871659827
8540,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1975,  14 120,  11 181,  9 680,  7 935,  6 289,  5 148,  4 640,  4 037,  3 463,  2 920,  2 451,  2 003,  1 565,  1 120,   731,   384,   150,   32,   3,   0,   0,,14120.361 ,11181.467 ,9679.752 ,7934.904 ,6288.892 ,5147.934 ,4640.017 ,4037.194 ,3462.644 ,2920.489 ,2450.807 ,2003.426 ,1565.434 ,1119.814 ,731.018 ,384.483 ,150.445 ,32.170 ,3.069 ,0.036 ,0.001 ,34981.5790 ,40451.7380 ,2421.0335 ,37402.6125 ,77854.351 ,1030.5435 ,1.358850694,984.4595 ,2.494368848,2015.003 ,2.656936098
8541,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1976,  14 570,  11 440,  9 832,  8 155,  6 551,  5 256,  4 738,  4 111,  3 528,  2 976,  2 497,  2 051,  1 614,  1 163,   765,   406,   162,   36,   4,   0,0,,14570.464 ,11439.984 ,9832.477 ,8155.075 ,6551.483 ,5255.557 ,4738.208 ,4110.603 ,3527.522 ,2975.988 ,2497.257 ,2050.785 ,1614.152 ,1162.911 ,764.633 ,406.413 ,161.716 ,36.321 ,3.711 ,0.061 ,0.000 ,35842.9250 ,41476.6280 ,2535.7650 ,38378.6900 ,79855.318 ,976.0775 ,1.253722488,1024.8900 ,2.533611782,2000.968 ,2.570142179
8542,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1977,  14 945,  11 775,  9 989,  8 356,  6 806,  5 401,  4 834,  4 182,  3 594,  3 034,  2 541,  2 098,  1 661,  1 208,   797,   430,   172,   41,   4,   0,0,,14944.774 ,11774.945 ,9988.809 ,8355.710 ,6806.407 ,5400.662 ,4833.698 ,4182.191 ,3594.034 ,3033.513 ,2540.976 ,2097.565 ,1661.152 ,1207.620 ,797.239 ,430.261 ,172.351 ,40.922 ,4.335 ,0.105 ,0.000 ,36708.5275 ,42505.9045 ,2652.8315 ,39361.3590 ,81867.264 ,982.6690 ,1.230561752,1029.2765 ,2.481581916,2011.945 ,2.519488433
8543,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1978,  15 255,  12 178,  10 156,  8 531,  7 050,  5 608,  4 900,  4 256,  3 662,  3 092,  2 583,  2 143,  1 706,  1 253,   829,   455,   183,   46,   5,   0,   0,,15255.089 ,12178.459 ,10156.157 ,8530.617 ,7049.517 ,5608.456 ,4899.613 ,4255.690 ,3661.546 ,3091.846 ,2583.030 ,2143.080 ,1706.267 ,1252.829 ,829.077 ,455.002 ,182.534 ,45.717 ,4.977 ,0.157 ,0.001 ,37589.7045 ,43529.6595 ,2770.2910 ,40359.9955 ,83889.655 ,998.6365 ,1.219823965,1023.7550 ,2.408500683,2022.392 ,2.470329914
8544,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1979,  15 556,  12 611,  10 336,  8 678,  7 277,  5 882,  4 934,  4 337,  3 728,  3 149,  2 626,  2 186,  1 750,  1 297,   861,   479,   193,   50,   6,   0,   0,,15556.045 ,12610.807 ,10336.117 ,8678.267 ,7276.545 ,5881.531 ,4934.117 ,4336.503 ,3728.374 ,3148.542 ,2625.771 ,2186.278 ,1749.871 ,1296.991 ,861.209 ,479.133 ,192.780 ,50.311 ,5.675 ,0.209 ,0.001 ,38502.9680 ,44545.7965 ,2886.3070 ,41389.2750 ,85935.072 ,1029.2795 ,1.22694449,1016.1370 ,2.334355498,2045.416 ,2.438222567
8545,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1980,  15 854,  13 063,  10 539,  8 802,  7 490,  6 162,  4 994,  4 426,  3 795,  3 203,  2 670,  2 227,  1 792,  1 339,   894,   502,   203,   54,   6,   0,   0,,15854.368 ,13062.571 ,10538.949 ,8801.573 ,7489.742 ,6161.826 ,4994.439 ,4426.270 ,3794.883 ,3203.093 ,2670.002 ,2227.356 ,1791.949 ,1339.214 ,893.798 ,501.962 ,203.265 ,54.480 ,6.436 ,0.258 ,0.001 ,39455.8880 ,45561.1315 ,2999.4120 ,42455.3000 ,88016.432 ,1066.0250 ,1.24050051,1015.3350 ,2.279305972,2081.360 ,2.422014625
8546,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1981,  16 159,  13 506,  10 836,  8 965,  7 702,  6 422,  5 108,  4 530,  3 871,  3 268,  2 724,  2 270,  1 833,  1 379,   927,   523,   214,   58,   7,   0,   0,,16159.026 ,13505.713 ,10835.827 ,8964.998 ,7701.642 ,6422.491 ,5108.237 ,4529.665 ,3871.362 ,3268.062 ,2723.948 ,2270.450 ,1832.914 ,1379.195 ,926.509 ,523.340 ,214.011 ,58.166 ,7.248 ,0.306 ,0.001 ,40500.5650 ,46693.7660 ,3108.7735 ,43609.3385 ,90303.105 ,1154.0385 ,1.311162564,1132.6345 ,2.485966574,2286.673 ,2.598006941
8547,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1982,  16 470,  13 886,  11 247,  9 191,  7 914,  6 677,  5 267,  4 645,  3 967,  3 353,  2 792,  2 317,  1 874,  1 417,   959,   543,   225,   61,   8,   0,   0,,16470.246 ,13886.050 ,11247.454 ,9191.236 ,7914.038 ,6676.743 ,5266.618 ,4645.325 ,3966.519 ,3352.795 ,2792.117 ,2317.354 ,1873.750 ,1416.768 ,959.419 ,543.169 ,225.109 ,61.354 ,8.094 ,0.352 ,0.002 ,41603.7495 ,47996.4930 ,3214.2640 ,44818.0135 ,92814.507 ,1208.6750 ,1.338464504,1302.7270 ,2.78993774,2511.402 ,2.781080467
8548,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1983,  16 755,  14 210,  11 687,  9 434,  8 116,  6 922,  5 487,  4 738,  4 074,  3 448,  2 866,  2 366,  1 915,  1 452,   992,   562,   236,   64,   9,   0,   0,,16755.417 ,14209.959 ,11686.623 ,9434.065 ,8116.280 ,6921.980 ,5487.267 ,4737.589 ,4074.105 ,3448.365 ,2866.326 ,2366.299 ,1914.613 ,1452.325 ,992.138 ,562.070 ,236.221 ,64.207 ,8.912 ,0.396 ,0.003 ,42651.9980 ,49366.8870 ,3316.2695 ,45968.2675 ,95335.155 ,1150.2540 ,1.239304117,1370.3940 ,2.855196108,2520.648 ,2.715790985
8549,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1984,  16 994,  14 528,  12 118,  9 682,  8 305,  7 154,  5 769,  4 798,  4 190,  3 547,  2 941,  2 418,  1 955,  1 486,  1 024,   581,   247,   67,   10,   0,   0,,16993.681 ,14528.037 ,12117.788 ,9682.311 ,8305.480 ,7154.230 ,5769.113 ,4797.781 ,4190.102 ,3546.991 ,2941.241 ,2418.116 ,1955.029 ,1486.499 ,1023.829 ,581.001 ,246.712 ,66.973 ,9.613 ,0.441 ,0.004 ,43639.5050 ,50760.3910 ,3415.0700 ,47054.5750 ,97814.966 ,1086.3075 ,1.139461624,1393.5040 ,2.822750399,2479.812 ,2.601151184
8550,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1985,  17 186,  14 845,  12 537,  9 936,  8 480,  7 377,  6 055,  4 881,  4 315,  3 648,  3 016,  2 473,  1 995,  1 519,  1 054,   600,   256,   70,   10,   0,   0,,17185.968 ,14844.755 ,12537.353 ,9935.740 ,8480.421 ,7377.210 ,6054.962 ,4880.924 ,4314.541 ,3648.049 ,3016.120 ,2472.794 ,1995.235 ,1519.220 ,1053.837 ,600.080 ,256.278 ,69.698 ,10.154 ,0.488 ,0.004 ,44568.0750 ,52175.9930 ,3509.7570 ,48077.8320 ,100253.825 ,1023.2570 ,1.046114968,1415.6020 ,2.788792545,2438.859 ,2.493339312
8551,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1986,  17 317,  15 166,  12 921,  10 199,  8 653,  7 595,  6 320,  5 009,  4 444,  3 751,  3 094,  2 530,  2 035,  1 551,  1 082,   619,   265,   72,   11,   1,   0,,17317.159 ,15165.683 ,12920.941 ,10199.429 ,8652.821 ,7595.497 ,6319.992 ,5008.933 ,4443.583 ,3751.356 ,3093.962 ,2530.335 ,2035.492 ,1550.953 ,1082.030 ,619.034 ,264.911 ,72.379 ,10.548 ,0.534 ,0.004 ,45403.7820 ,53631.3985 ,3600.3915 ,49004.1735 ,102635.572 ,926.3415 ,0.923996167,1455.4055 ,2.789416006,2381.747 ,2.375716837
