,,,,,,,,,,,"Total population by five-year age group, both sexes combined (thousands)",,,,,,,,,,,,,,,,,,,,,,CORRECTED (WITHOUT GAP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8552,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1987,  17 381,  15 491,  13 231,  10 506,  8 838,  7 808,  6 577,  5 171,  4 570,  3 856,  3 177,  2 591,  2 075,  1 582,  1 108,   638,   272,   75,   11,   1,   0,,17380.662 ,15490.925 ,13230.501 ,10505.541 ,8838.382 ,7807.520 ,6576.978 ,5171.194 ,4570.365 ,3856.446 ,3177.316 ,2591.361 ,2075.205 ,1582.355 ,1108.098 ,637.622 ,272.455 ,74.980 ,10.807 ,0.577 ,0.005 ,46102.0880 ,55170.3055 ,3686.8975 ,49788.9855 ,104959.291 ,784.8120 ,0.764658865,1538.9070 ,2.869414267,2323.719 ,2.264048375
8553,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1988,  17 394,  15 794,  13 490,  10 843,  9 038,  8 008,  6 823,  5 391,  4 668,  3 965,  3 266,  2 655,  2 115,  1 613,  1 132,   655,   279,   77,   11,   1,   0,,17394.240 ,15794.355 ,13489.780 ,10842.686 ,9037.906 ,8008.050 ,6822.816 ,5390.692 ,4667.650 ,3965.478 ,3265.563 ,2654.531 ,2114.751 ,1612.892 ,1131.748 ,655.118 ,278.929 ,77.253 ,10.958 ,0.611 ,0.005 ,46678.3745 ,56770.1210 ,3767.5120 ,50445.8865 ,107216.008 ,656.9010 ,0.62586265,1599.8155 ,2.899776402,2256.717 ,2.150087409
8554,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1989,  17 389,  16 057,  13 755,  11 183,  9 246,  8 194,  7 055,  5 669,  4 732,  4 082,  3 357,  2 718,  2 156,  1 642,  1 153,   671,   285,   79,   11,   1,   0,,17389.412 ,16056.771 ,13754.600 ,11182.544 ,9245.543 ,8194.396 ,7054.968 ,5669.350 ,4732.411 ,4082.107 ,3357.009 ,2717.777 ,2155.699 ,1641.905 ,1153.234 ,670.789 ,284.645 ,78.953 ,11.055 ,0.631 ,0.005 ,47200.7820 ,58391.8010 ,3841.2160 ,51041.9980 ,109433.799 ,596.1115 ,0.555991138,1621.6800 ,2.856573091,2217.791 ,2.068526474
8555,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1990,  17 366,  16 280,  14 037,  11 529,  9 464,  8 366,  7 277,  5 951,  4 818,  4 206,  3 452,  2 781,  2 198,  1 670,  1 173,   684,   290,   80,   11,   1,   0,,17366.304 ,16280.034 ,14036.799 ,11528.892 ,9463.706 ,8365.610 ,7277.400 ,5951.479 ,4818.306 ,4206.342 ,3451.554 ,2780.889 ,2198.229 ,1669.747 ,1172.640 ,684.320 ,289.674 ,80.038 ,11.116 ,0.638 ,0.006 ,47683.1360 ,60042.4045 ,3908.1765 ,51591.3125 ,111633.717 ,549.3145 ,0.501960551,1650.6035 ,2.826772718,2199.918 ,2.010272896
8556,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1991,  17 277,  16 434,  14 379,  11 892,  9 705,  8 529,  7 492,  6 209,  4 941,  4 330,  3 548,  2 846,  2 241,  1 695,  1 189,   695,   294,   80,   11,   1,   0,,17277.355 ,16434.245 ,14378.876 ,11891.554 ,9704.928 ,8529.020 ,7491.815 ,6209.061 ,4940.546 ,4330.254 ,3548.175 ,2845.978 ,2240.605 ,1694.991 ,1189.019 ,695.041 ,293.534 ,80.393 ,11.088 ,0.629 ,0.007 ,48090.4755 ,61731.9340 ,3964.6995 ,52055.1750 ,113787.109 ,463.8625 ,0.415521862,1689.5295 ,2.813893804,2153.392 ,1.928979934
8557,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1992,  17 149,  16 525,  14 784,  12 253,  10 021,  8 707,  7 693,  6 446,  5 078,  4 438,  3 642,  2 914,  2 285,  1 719,  1 205,   704,   297,   80,   11,   1,   0,,17149.091 ,16524.837 ,14783.777 ,12252.982 ,10020.924 ,8706.947 ,7692.901 ,6446.447 ,5077.616 ,4438.160 ,3641.933 ,2914.454 ,2285.268 ,1719.246 ,1204.715 ,703.943 ,296.911 ,80.381 ,11.043 ,0.614 ,0.008 ,48457.7040 ,63477.6285 ,4016.8590 ,52474.5630 ,115952.192 ,419.3880 ,0.368572507,1745.6945 ,2.827862966,2165.082 ,1.902748491
8558,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1993,  17 032,  16 584,  15 166,  12 604,  10 401,  8 910,  7 879,  6 666,  5 258,  4 506,  3 734,  2 986,  2 333,  1 745,  1 222,   712,   300,   80,   11,   1,   0,,17031.817 ,16584.144 ,15166.463 ,12604.147 ,10401.484 ,8909.768 ,7879.071 ,6665.586 ,5258.151 ,4506.008 ,3734.013 ,2986.394 ,2333.298 ,1745.435 ,1221.640 ,712.434 ,300.437 ,80.439 ,11.031 ,0.597 ,0.009 ,48782.4235 ,65277.9175 ,4072.0195 ,52854.4430 ,118132.361 ,379.8800 ,0.327617784,1800.2890 ,2.836099966,2180.169 ,1.880230957
8559,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1994,  16 930,  16 624,  15 497,  12 983,  10 802,  9 128,  8 055,  6 877,  5 499,  4 542,  3 833,  3 062,  2 382,  1 774,  1 239,   721,   304,   81,   11,   1,   0,,16930.223 ,16624.255 ,15496.558 ,12983.002 ,10802.268 ,9128.433 ,8054.714 ,6876.579 ,5499.110 ,4541.550 ,3833.026 ,3062.454 ,2381.740 ,1773.892 ,1238.660 ,720.731 ,303.808 ,80.596 ,10.992 ,0.584 ,0.009 ,49051.0345 ,67162.8740 ,4129.2705 ,53180.3050 ,120343.179 ,325.8620 ,0.275844822,1884.9565 ,2.887586756,2210.819 ,1.871475767
8560,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1995,  16 851,  16 644,  15 773,  13 391,  11 223,  9 366,  8 220,  7 083,  5 748,  4 598,  3 939,  3 143,  2 431,  1 805,  1 257,   730,   307,   81,   11,   1,   0,,16850.878 ,16643.578 ,15772.927 ,13391.153 ,11223.195 ,9365.924 ,8219.667 ,7083.104 ,5747.957 ,4597.976 ,3938.892 ,3142.614 ,2431.028 ,1805.387 ,1256.646 ,729.536 ,307.347 ,81.024 ,10.954 ,0.579 ,0.008 ,49267.3820 ,69141.5075 ,4191.4805 ,53458.8625 ,122600.370 ,278.5575 ,0.231469288,1978.6335 ,2.946022679,2257.191 ,1.875628531
8561,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1996,  16 832,  16 620,  15 961,  13 814,  11 643,  9 633,  8 384,  7 285,  5 979,  4 694,  4 045,  3 225,  2 484,  1 841,  1 276,   740,   311,   82,   11,   1,   0,,16832.041 ,16620.267 ,15961.222 ,13814.342 ,11643.418 ,9632.720 ,8384.315 ,7285.488 ,5978.980 ,4693.836 ,4044.905 ,3225.130 ,2484.215 ,1840.510 ,1276.284 ,739.655 ,311.466 ,81.846 ,10.959 ,0.578 ,0.007 ,49413.5295 ,71187.3455 ,4261.3040 ,53674.8335 ,124862.179 ,215.9710 ,0.176158522,2045.8380 ,2.958914368,2261.809 ,1.844863111
8562,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1997,  16 944,  16 557,  16 064,  14 235,  12 023,  9 963,  8 566,  7 482,  6 205,  4 820,  4 145,  3 309,  2 544,  1 880,  1 298,   752,   317,   83,   11,   1,   0,,16943.947 ,16556.762 ,16063.701 ,14235.205 ,12023.095 ,9962.711 ,8566.041 ,7481.865 ,6204.845 ,4820.170 ,4144.736 ,3309.486 ,2544.187 ,1880.068 ,1297.807 ,752.022 ,316.580 ,83.214 ,11.041 ,0.585 ,0.006 ,49564.4095 ,73292.3380 ,4341.3220 ,53905.7315 ,127198.070 ,230.8980 ,0.184922289,2104.9925 ,2.956975689,2335.891 ,1.870775057
8563,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1998,  17 174,  16 479,  16 113,  14 614,  12 380,  10 345,  8 768,  7 668,  6 423,  5 000,  4 214,  3 398,  2 611,  1 924,  1 322,   767,   323,   85,   11,   1,   0,,17174.319 ,16479.018 ,16113.282 ,14614.380 ,12379.928 ,10345.414 ,8768.388 ,7667.820 ,6423.312 ,5000.116 ,4214.122 ,3397.760 ,2611.315 ,1923.600 ,1322.244 ,767.068 ,323.165 ,85.249 ,11.236 ,0.594 ,0.006 ,49766.6175 ,75422.5525 ,4433.1615 ,54199.7790 ,129622.332 ,294.0475 ,0.231172927,2130.2145 ,2.906462746,2424.262 ,1.905895278
8564,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,1999,  17 446,  16 413,  16 144,  14 929,  12 759,  10 751,  8 988,  7 842,  6 632,  5 237,  4 252,  3 493,  2 684,  1 970,  1 351,   785,   332,   88,   12,   1,   0,,17446.222 ,16412.637 ,16143.641 ,14929.164 ,12758.778 ,10750.638 ,8988.007 ,7841.983 ,6632.440 ,5237.415 ,4251.692 ,3493.184 ,2684.190 ,1970.228 ,1351.040 ,784.874 ,331.689 ,88.048 ,11.586 ,0.608 ,0.006 ,50002.4990 ,77567.4885 ,4538.0770 ,54540.5760 ,132108.065 ,340.7970 ,0.262915345,2144.9360 ,2.843892084,2485.733 ,1.917673422
8565,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2000,  17 740,  16 363,  16 112,  15 151,  13 161,  11 183,  9 223,  7 996,  6 828,  5 474,  4 302,  3 591,  2 762,  2 020,  1 384,   806,   342,   92,   12,   1,   0,,17740.481 ,16363.286 ,16111.775 ,15150.572 ,13161.083 ,11182.808 ,9223.427 ,7996.089 ,6828.214 ,5474.337 ,4301.778 ,3591.321 ,2762.018 ,2020.137 ,1384.467 ,805.730 ,342.350 ,91.688 ,12.113 ,0.630 ,0.006 ,50215.5405 ,79671.6450 ,4657.1190 ,54872.6595 ,134544.305 ,332.0835 ,0.251372618,2104.1565 ,2.712678392,2436.240 ,1.844126632
8566,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2001,  18 037,  16 368,  16 103,  15 284,  13 501,  11 537,  9 444,  8 127,  7 008,  5 691,  4 391,  3 691,  2 840,  2 073,  1 420,   828,   354,   95,   12,   0,   0,,18037.237 ,16367.925 ,16102.843 ,15284.472 ,13501.008 ,11537.286 ,9444.187 ,8127.081 ,7008.253 ,5690.509 ,4390.575 ,3690.752 ,2840.496 ,2072.564 ,1420.405 ,828.145 ,354.183 ,95.364 ,12.141 ,0.386 ,0.004 ,50508.0045 ,81514.6155 ,4783.1905 ,55291.1950 ,136805.811 ,418.5355 ,0.311076341,1842.9705 ,2.313207541,2261.506 ,1.680863421
8567,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2002,  18 248,  16 494,  16 153,  15 376,  13 760,  11 756,  9 677,  8 254,  7 174,  5 902,  4 514,  3 789,  2 919,  2 129,  1 458,   851,   367,   99,   12,   0,   0,,18247.998 ,16493.975 ,16152.864 ,15376.178 ,13760.254 ,11755.942 ,9677.035 ,8253.784 ,7173.821 ,5902.199 ,4514.410 ,3788.953 ,2918.971 ,2128.918 ,1458.483 ,851.499 ,367.240 ,99.148 ,11.832 ,0.156 ,0.002 ,50894.8365 ,83121.5440 ,4917.2775 ,55812.1140 ,138933.658 ,520.9190 ,0.38077257,1606.9285 ,1.971337888,2127.848 ,1.555378015
8568,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2003,  18 344,  16 732,  16 168,  15 449,  13 986,  11 927,  9 938,  8 388,  7 321,  6 102,  4 687,  3 859,  3 002,  2 191,  1 499,   877,   382,   104,   12,   0,   0,,18343.616 ,16732.373 ,16168.188 ,15449.050 ,13986.299 ,11927.443 ,9938.123 ,8387.692 ,7321.420 ,6101.881 ,4687.154 ,3859.013 ,3002.326 ,2191.188 ,1499.274 ,877.011 ,382.277 ,103.893 ,12.000 ,0.135 ,0.001 ,51244.1765 ,84660.3990 ,5065.7760 ,56309.9525 ,140970.352 ,497.8385 ,0.358328217,1538.8550 ,1.851331106,2036.693 ,1.46594679
8569,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2004,  18 349,  17 009,  16 169,  15 530,  14 163,  12 101,  10 197,  8 524,  7 448,  6 287,  4 911,  3 898,  3 093,  2 257,  1 541,   905,   399,   110,   13,   0,0,,18348.845 ,17008.613 ,16169.214 ,15530.253 ,14163.382 ,12100.996 ,10196.696 ,8523.719 ,7448.483 ,6286.560 ,4911.106 ,3898.195 ,3092.515 ,2257.267 ,1541.272 ,904.831 ,398.777 ,109.508 ,12.504 ,0.125 ,0.000 ,51526.6710 ,86151.9030 ,5224.2815 ,56750.9525 ,142902.856 ,441.0000 ,0.312831738,1491.5040 ,1.761749316,1932.504 ,1.370858467
8570,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2005,  18 255,  17 303,  16 162,  15 615,  14 298,  12 282,  10 451,  8 664,  7 555,  6 459,  5 137,  3 954,  3 189,  2 326,  1 584,   935,   417,   116,   13,   0,0,,18255.229 ,17303.125 ,16161.789 ,15614.958 ,14298.435 ,12282.084 ,10451.209 ,8663.931 ,7554.544 ,6459.143 ,5137.462 ,3954.147 ,3189.183 ,2325.888 ,1584.140 ,934.641 ,416.556 ,115.912 ,13.272 ,0.143 ,0.000 ,51720.1425 ,87605.0935 ,5390.5500 ,57110.6925 ,144715.786 ,359.7400 ,0.251737447,1453.1905 ,1.686777018,1812.931 ,1.268645398
8571,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2006,  18 066,  17 605,  16 181,  15 681,  14 383,  12 474,  10 680,  8 816,  7 652,  6 623,  5 345,  4 046,  3 288,  2 397,  1 630,   966,   436,   123,   14,   0,   0,,18066.201 ,17604.949 ,16181.214 ,15681.488 ,14382.993 ,12474.298 ,10680.140 ,8815.695 ,7651.646 ,6622.787 ,5344.798 ,4045.635 ,3288.109 ,2396.973 ,1629.602 ,966.291 ,435.546 ,123.155 ,14.303 ,0.156 ,0.001 ,51852.3625 ,88987.5870 ,5566.0240 ,57418.3865 ,146405.974 ,307.6940 ,0.212619513,1382.4935 ,1.578097169,1690.187 ,1.167935819
8572,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2007,  17 818,  17 827,  16 306,  15 713,  14 423,  12 670,  10 847,  9 011,  7 756,  6 775,  5 544,  4 163,  3 382,  2 471,  1 679,  1 000,   456,   131,   16,   0,   0,,17817.542 ,17827.415 ,16305.753 ,15712.890 ,14423.392 ,12670.405 ,10847.138 ,9011.028 ,7755.934 ,6775.166 ,5544.068 ,4163.295 ,3382.341 ,2470.678 ,1679.432 ,999.925 ,455.681 ,131.396 ,15.626 ,0.177 ,0.002 ,51950.7090 ,90285.6545 ,5752.9145 ,57703.6235 ,147989.278 ,285.2370 ,0.194826067,1298.0675 ,1.458706258,1583.305 ,1.081448019
8573,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2008,  17 529,  17 935,  16 542,  15 713,  14 453,  12 842,  10 974,  9 239,  7 870,  6 912,  5 733,  4 327,  3 450,  2 549,  1 734,  1 035,   477,   141,   17,   0,   0,,17529.333 ,17935.419 ,16542.244 ,15713.043 ,14452.952 ,12842.286 ,10974.495 ,9239.328 ,7870.287 ,6911.710 ,5732.736 ,4326.806 ,3449.896 ,2548.572 ,1733.953 ,1035.419 ,477.433 ,140.832 ,17.320 ,0.204 ,0.001 ,52006.9950 ,91513.5360 ,5953.7325 ,57960.7275 ,149474.264 ,257.1040 ,0.173731505,1227.8815 ,1.359996233,1484.986 ,1.003441276
8574,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2009,  17 202,  17 954,  16 817,  15 704,  14 502,  12 978,  11 114,  9 472,  7 991,  7 031,  5 909,  4 539,  3 489,  2 633,  1 792,  1 073,   502,   152,   20,   0,   0,,17201.621 ,17954.132 ,16817.357 ,15704.076 ,14502.391 ,12978.361 ,11114.141 ,9472.416 ,7991.158 ,7030.807 ,5908.554 ,4538.658 ,3488.853 ,2633.005 ,1792.409 ,1072.711 ,501.597 ,151.704 ,19.516 ,0.250 ,0.002 ,51973.1085 ,92729.4120 ,6171.1935 ,58144.3020 ,150873.714 ,183.5745 ,0.12281345,1215.8760 ,1.328629679,1399.451 ,0.936248467
8575,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2010,  16 839,  17 875,  17 112,  15 694,  14 571,  13 090,  11 275,  9 711,  8 122,  7 133,  6 075,  4 754,  3 544,  2 724,  1 855,  1 112,   529,   164,   22,   0,   0,,16838.501 ,17875.118 ,17111.787 ,15693.528 ,14571.167 ,13090.376 ,11275.395 ,9711.434 ,8122.325 ,7133.016 ,6075.000 ,4753.677 ,3544.090 ,2724.173 ,1854.524 ,1112.329 ,528.527 ,164.320 ,22.355 ,0.339 ,0.003 ,51825.4060 ,93970.0065 ,6406.5690 ,58231.9750 ,152201.982 ,87.6730 ,0.058110189,1240.5945 ,1.337865164,1328.267 ,0.880383643
8576,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2011,  16 459,  17 704,  17 417,  15 727,  14 658,  13 191,  11 478,  9 946,  8 278,  7 235,  6 238,  4 954,  3 635,  2 822,  1 924,  1 158,   560,   180,   27,   1,   0,,16458.613 ,17703.735 ,17416.902 ,15727.415 ,14658.484 ,13190.791 ,11477.712 ,9946.010 ,8278.324 ,7234.826 ,6238.172 ,4953.936 ,3634.510 ,2822.255 ,1923.793 ,1158.063 ,559.938 ,180.088 ,26.894 ,0.615 ,0.003 ,51579.2495 ,95340.1775 ,6671.6485 ,58250.8980 ,153591.076 ,18.9230 ,0.012432821,1370.1710 ,1.458093972,1389.094 ,0.912664859
8577,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2012,  16 092,  17 477,  17 646,  15 878,  14 742,  13 283,  11 712,  10 139,  8 491,  7 352,  6 396,  5 150,  3 751,  2 921,  2 001,  1 211,   596,   199,   33,   1,   0,,16091.563 ,17476.647 ,17646.021 ,15878.460 ,14742.002 ,13282.936 ,11712.476 ,10139.492 ,8490.510 ,7351.876 ,6395.718 ,5149.869 ,3751.352 ,2920.685 ,2000.650 ,1211.210 ,595.668 ,198.784 ,33.059 ,1.125 ,0.004 ,51214.2295 ,96894.6885 ,6961.1835 ,58175.4130 ,155070.102 ,-75.4850 ,-0.049146736,1554.5110 ,1.630488888,1479.026 ,0.962963502
8578,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2013,  15 782,  17 211,  17 761,  16 134,  14 793,  13 371,  11 931,  10 300,  8 739,  7 481,  6 539,  5 337,  3 911,  2 996,  2 083,  1 269,   634,   219,   40,   2,   0,,15781.819 ,17211.136 ,17760.558 ,16134.311 ,14793.407 ,13370.891 ,11930.748 ,10299.844 ,8739.216 ,7480.901 ,6539.255 ,5336.803 ,3910.758 ,2995.661 ,2083.204 ,1269.389 ,633.554 ,219.038 ,39.770 ,1.876 ,0.005 ,50753.5115 ,98536.1325 ,7242.4965 ,57996.0080 ,156532.141 ,-179.4050 ,-0.115692837,1641.4440 ,1.694049514,1462.039 ,0.942824559
8579,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2014,  15 552,  16 906,  17 785,  16 420,  14 825,  13 475,  12 113,  10 473,  8 993,  7 616,  6 666,  5 512,  4 115,  3 045,  2 173,  1 331,   673,   241,   47,   3,   0,,15551.732 ,16905.665 ,17785.415 ,16419.531 ,14825.498 ,13475.072 ,12113.191 ,10473.079 ,8993.139 ,7616.085 ,6665.819 ,5512.167 ,4114.830 ,3045.448 ,2172.938 ,1331.361 ,673.052 ,240.927 ,47.117 ,2.859 ,0.008 ,50242.8105 ,100208.4095 ,7513.7085 ,57756.5190 ,157964.929 ,-239.4890 ,-0.152996694,1672.2770 ,1.697120597,1432.788 ,0.915331507
8580,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2015,  15 422,  16 564,  17 713,  16 717,  14 843,  13 589,  12 266,  10 665,  9 251,  7 760,  6 775,  5 679,  4 323,  3 110,  2 270,  1 396,   714,   264,   55,   4,   0,,15421.928 ,16564.283 ,17713.196 ,16717.189 ,14843.110 ,13589.394 ,12266.483 ,10664.931 ,9251.273 ,7759.762 ,6775.279 ,5679.262 ,4323.172 ,3110.364 ,2269.637 ,1396.400 ,714.003 ,264.271 ,55.181 ,4.046 ,0.021 ,49699.4060 ,101869.8510 ,7813.9220 ,57513.3280 ,159383.179 ,-243.1910 ,-0.153952528,1661.4415 ,1.657986099,1418.251 ,0.897826191
8581,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2016,  15 406,  16 201,  17 548,  17 019,  14 881,  13 691,  12 381,  10 879,  9 493,  7 919,  6 879,  5 841,  4 518,  3 207,  2 370,  1 465,   757,   289,   64,   5,   0,,15405.506 ,16200.709 ,17547.642 ,17019.109 ,14881.043 ,13690.695 ,12381.338 ,10878.531 ,9492.615 ,7919.265 ,6879.272 ,5841.184 ,4518.264 ,3206.760 ,2369.608 ,1464.779 ,757.252 ,288.900 ,63.982 ,5.433 ,0.053 ,49153.8555 ,103501.3125 ,8156.7645 ,57310.6200 ,160811.933 ,-202.7080 ,-0.127182806,1631.4615 ,1.601515546,1428.753 ,0.89642678
8582,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2017,  15 490,  15 947,  17 343,  17 153,  15 095,  13 732,  12 567,  11 092,  9 607,  8 075,  6 942,  5 937,  4 678,  3 326,  2 467,  1 537,   804,   315,   73,   7,   0,,15490.274 ,15946.582 ,17342.755 ,17152.929 ,15095.480 ,13732.141 ,12567.038 ,11091.552 ,9606.697 ,8075.150 ,6941.660 ,5936.721 ,4677.981 ,3325.996 ,2467.075 ,1536.973 ,803.762 ,314.732 ,73.498 ,7.048 ,0.108 ,48779.6095 ,104877.3475 ,8529.1895 ,57308.7990 ,162186.147 ,-1.8210 ,-0.001132379,1376.0350 ,1.329485556,1374.214 ,0.854547283
8583,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2018,  15 621,  15 849,  17 169,  17 098,  15 443,  13 750,  12 798,  11 341,  9 617,  8 202,  6 968,  5 957,  4 784,  3 478,  2 545,  1 614,   854,   342,   84,   9,   0,,15621.227 ,15848.939 ,17169.026 ,17098.253 ,15442.894 ,13750.287 ,12797.981 ,11341.342 ,9617.451 ,8201.893 ,6967.916 ,5956.728 ,4783.843 ,3478.463 ,2544.810 ,1613.934 ,853.594 ,341.657 ,83.764 ,8.914 ,0.193 ,48639.1920 ,105958.5850 ,8925.3265 ,57564.5185 ,163523.104 ,255.7195 ,0.157670372,1081.2375 ,1.030954277,1336.957 ,0.824334895
8584,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2019,  15 758,  15 807,  17 045,  17 025,  15 697,  13 867,  12 898,  11 698,  9 658,  8 301,  7 009,  5 960,  4 853,  3 658,  2 601,  1 697,   906,   370,   95,   11,   0,,15758.021 ,15807.205 ,17044.814 ,17024.611 ,15696.530 ,13866.519 ,12897.781 ,11697.606 ,9658.369 ,8301.022 ,7009.350 ,5959.811 ,4853.121 ,3658.059 ,2601.060 ,1696.943 ,906.242 ,369.730 ,94.899 ,11.057 ,0.311 ,48610.0390 ,106964.7180 ,9338.2980 ,57948.3370 ,164913.055 ,383.8185 ,0.234718209,1006.1330 ,0.949553073,1389.951 ,0.850003131
8585,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2020,  15 914,  15 794,  16 949,  17 001,  15 798,  14 129,  12 831,  12 144,  9 754,  8 370,  7 066,  5 957,  4 888,  3 807,  2 657,  1 772,   952,   395,   106,   14,   0,,15913.687 ,15793.623 ,16948.923 ,17001.041 ,15798.488 ,14129.280 ,12831.152 ,12143.577 ,9754.238 ,8369.521 ,7065.664 ,5956.624 ,4888.494 ,3807.313 ,2656.827 ,1772.386 ,951.911 ,394.912 ,106.267 ,13.620 ,0.481 ,48656.2320 ,107938.0765 ,9703.7155 ,58359.9475 ,166298.024 ,411.6105 ,0.249592429,973.3585 ,0.909980897,1384.969 ,0.839817685
8586,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2021,  16 088,  15 785,  16 873,  17 057,  15 769,  14 508,  12 652,  12 589,  9 944,  8 398,  7 132,  5 958,  4 891,  3 905,  2 727,  1 838,   992,   418,   118,   17,   1,,16087.523 ,15785.484 ,16872.969 ,17056.941 ,15768.555 ,14508.224 ,12651.850 ,12588.921 ,9943.502 ,8398.087 ,7132.285 ,5958.150 ,4890.740 ,3905.442 ,2727.189 ,1838.257 ,991.582 ,417.923 ,117.843 ,16.671 ,0.724 ,48745.9750 ,108897.2525 ,10015.6270 ,58761.6020 ,167658.855 ,401.6545 ,0.241526923,959.1760 ,0.888635439,1360.830 ,0.81830828
8587,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2022,  16 291,  15 732,  16 709,  17 136,  15 768,  14 851,  12 592,  12 835,  10 321,  8 499,  7 261,  6 043,  4 953,  3 998,  2 831,  1 917,  1 046,   449,   131,   20,   1,,16290.934 ,15731.966 ,16709.289 ,17136.307 ,15767.603 ,14851.325 ,12592.453 ,12834.804 ,10321.258 ,8499.486 ,7261.302 ,6043.424 ,4952.720 ,3998.048 ,2830.641 ,1917.250 ,1045.673 ,448.540 ,131.179 ,19.747 ,0.955 ,48732.1875 ,110260.6795 ,10392.0305 ,59124.2180 ,169384.898 ,362.6160 ,0.216282046,1363.4270 ,1.25203067,1726.043 ,1.029497073
8588,Estimates,Bangladesh,,50,BGD,BD,50,Country/Area,5501,2023,  16 505,  15 676,  16 448,  17 146,  15 895,  15 043,  12 785,  12 811,  10 862,  8 704,  7 450,  6 211,  5 093,  4 100,  2 973,  1 994,  1 114,   486,   146,   23,   1,,16505.069 ,15676.156 ,16448.326 ,17145.642 ,15895.431 ,15043.487 ,12785.315 ,12810.518 ,10861.706 ,8704.019 ,7449.970 ,6211.165 ,5092.536 ,4100.068 ,2973.041 ,1994.097 ,1114.019 ,486.462 ,146.056 ,22.759 ,1.155 ,48629.5510 ,111999.7855 ,10837.6535 ,59467.2045 ,171466.990 ,342.9865 ,0.202489422,1739.1060 ,1.577267624,2082.093 ,1.229207876
